GH,XGH,GA,XGA,Side
0,0.52,0,0.91,0
0,1.14,3,2.37,1
2,2.23,0,0.98,0
0,0.20,0,1.04,1
1,2.39,0,0.56,0
1,1.09,2,0.23,1
0,1.20,1,1.43,0
1,1.82,1,1.56,1
3,2.51,0,0.78,0
1,1.34,0,0.43,1
2,1.95,0,0.49,0
2,2.61,0,1.15,1
3,2.79,1,1.12,0
2,2.03,1,1.02,1
0,1.46,0,0.52,0
0,0.44,1,1.36,1
0,1.53,0,1.37,0
0,0.60,2,1.16,1
0,0.81,3,2.21,0
2,0.67,1,2.25,1
8,4.18,0,0.23,0
1,1.04,1,0.66,1
2,2.21,1,1.43,0
0,0.74,0,0.51,1
3,2.67,0,0.44,0
0,0.48,1,0.71,1
4,3.82,0,0.35,0
0,0.14,2,2.16,1
1,1.35,0,0.43,0
3,1.77,2,1.44,1
1,0.67,2,0.60,0
1,1.57,1,1.89,1
2,2.50,1,0.20,0
2,1.10,0,1.10,1
