GH,XGH,GA,XGA,Side
2,0.35,2,1.84,1
0,1.14,3,2.37,0
0,0.33,0,0.39,1
2,2.05,0,0.55,1
4,3.48,0,0.40,0
1,1.57,2,1.44,1
2,1.60,2,1.13,0
3,2.38,1,0.56,1
1,1.50,0,0.67,0
3,1.97,1,0.93,1
3,1.66,0,0.97,0
2,0.64,2,1.92,1
4,4.48,0,0.84,0
1,1.38,1,0.88,1
1,3.22,1,1.00,0
1,1.41,2,1.15,1
0,0.77,0,0.93,0
5,2.88,0,0.72,0
0,0.81,3,2.21,1
0,1.04,0,0.58,0
1,0.86,2,0.98,0
0,0.38,6,3.13,1
2,1.44,0,0.75,0
0,0.76,3,1.18,1
4,1.73,0,0.63,0
0,1.07,0,0.27,1
2,1.84,0,0.56,0
2,2.36,1,0.64,1
3,3.21,0,0.12,0
2,1.97,2,0.96,1
1,1.71,2,1.32,0
1,1.27,3,1.68,1
1,1.05,0,0.87,0
1,0.54,2,2.43,1
