GH,XGH,GA,XGA,Side
1,2.41,1,0.43,0
0,0.72,2,1.30,1
2,1.23,0,0.31,0
0,1.33,2,1.15,1
2,2.14,2,1.48,0
1,0.83,0,0.85,1
3,2.37,2,1.43,0
3,1.30,3,1.87,1
4,2.98,5,3.13,0
0,0.92,4,2.70,1
2,0.65,0,0.77,0
0,0.38,1,2.06,1
1,1.50,4,3.36,0
0,0.68,4,1.70,1
1,1.35,1,0.55,0
0,0.44,1,1.36,0
0,0.77,0,0.93,1
0,1.61,1,1.27,1
0,0.31,0,0.62,0
0,0.13,2,0.10,1
2,1.20,1,0.19,0
2,1.56,3,1.56,1
1,1.54,1,0.74,0
0,1.08,0,0.68,1
4,1.60,0,1.04,0
3,2.22,1,1.35,1
3,3.74,1,1.92,0
3,2.35,2,0.45,1
2,1.14,1,2.41,0
2,1.21,2,2.05,1
3,2.47,2,1.14,0
2,2.70,0,0.28,1
2,2.50,1,0.20,1
1,0.54,2,2.43,0
