GH,XGH,GA,XGA,Side
2,2.57,1,1.20,0
2,1.00,2,1.60,1
1,1.16,1,1.64,0
4,1.56,1,0.62,1
1,0.43,0,0.86,0
2,1.24,1,0.33,1
1,0.68,0,0.67,1
1,1.01,2,1.46,0
3,4.06,0,1.62,1
0,0.92,4,2.70,0
2,1.95,0,0.49,1
3,1.12,2,1.23,0
1,1.69,0,0.61,1
1,1.68,3,1.86,0
1,3.22,1,1.00,1
2,1.30,2,1.39,0
2,0.53,1,0.40,1
4,2.18,1,1.92,1
1,0.95,1,1.86,0
3,1.37,0,1.40,1
4,1.99,5,2.09,0
2,1.78,1,0.56,1
3,1.44,5,2.55,0
1,1.44,0,0.39,0
3,2.69,0,1.21,1
1,1.03,1,0.81,0
3,3.74,1,1.92,1
0,0.14,2,2.16,0
1,1.08,1,0.29,1
1,1.65,0,0.42,0
2,1.53,2,1.42,1
1,1.27,3,1.68,0
2,1.66,1,1.77,1
2,0.91,2,2.06,0
