GH,XGH,GA,XGA,Side
0,1.15,1,1.23,1
1,0.95,1,1.26,0
0,0.83,1,1.25,1
2,3.86,1,0.15,0
2,2.25,0,0.56,1
4,2.85,2,1.92,0
1,1.94,3,1.59,1
1,1.98,1,0.12,0
0,1.43,2,2.54,1
5,4.21,1,0.29,0
3,2.98,3,1.73,1
1,1.71,2,1.31,1
0,0.92,4,2.23,0
0,1.27,0,0.56,1
0,2.37,1,2.10,0
2,1.24,1,1.45,1
0,1.24,1,2.50,0
0,0.64,0,0.70,0
0,0.61,0,1.26,1
2,2.86,1,0.23,0
1,0.31,3,2.21,1
0,0.43,1,1.17,0
2,1.81,2,1.81,1
2,1.60,1,1.81,0
3,1.64,3,1.46,1
2,1.36,2,1.28,0
1,1.02,3,1.53,1
4,3.61,2,0.78,0
1,0.72,2,0.92,0
1,1.28,0,0.43,1
0,1.38,2,0.97,0
0,0.88,0,0.26,1
1,1.41,1,0.56,0
1,1.03,3,2.10,1
