GH,XGH,GA,XGA,Side
2,3.53,1,0.48,1
0,0.10,1,1.37,0
3,3.52,0,0.42,0
0,1.36,1,0.28,1
3,4.08,0,0.93,0
1,1.74,0,0.48,1
0,0.33,3,1.30,0
1,1.98,1,0.12,1
0,0.47,0,0.88,0
4,2.87,3,2.40,1
2,2.11,1,1.32,0
1,0.46,2,2.04,1
1,0.62,3,1.67,0
1,2.14,1,0.95,1
2,1.03,1,1.25,0
5,2.75,0,0.38,1
0,0.46,1,0.72,0
1,0.76,1,1.82,0
3,1.97,0,0.18,1
0,0.29,0,1.18,1
1,1.08,2,1.57,0
0,0.79,1,1.26,1
3,2.62,1,0.81,0
1,1.01,4,1.88,1
3,1.64,3,1.46,0
1,1.46,0,1.04,1
0,0.64,2,2.29,0
3,0.71,0,0.57,1
0,0.73,2,1.37,0
3,1.12,0,0.88,1
2,2.43,3,1.53,0
2,2.99,1,0.34,1
2,1.24,1,1.96,0
3,3.09,2,2.93,1
