GH,XGH,GA,XGA,Side
2,3.53,1,0.48,0
1,1.30,2,2.54,1
0,0.29,0,1.39,0
1,0.69,3,2.21,1
3,1.28,1,1.01,0
1,1.19,1,1.64,1
1,1.94,3,1.59,0
2,1.91,2,2.37,1
4,2.81,2,1.08,0
0,0.59,1,3.12,1
0,1.34,0,0.91,0
0,0.68,0,1.60,1
1,0.10,0,0.33,0
3,2.08,3,1.66,1
1,0.49,1,1.13,0
1,1.55,0,1.40,1
1,0.72,0,0.87,0
1,0.76,1,1.82,1
2,3.09,0,0.46,0
0,0.58,2,2.07,1
1,1.83,1,0.57,0
3,1.84,2,1.17,1
3,2.47,1,0.88,0
2,1.60,1,1.81,1
5,3.83,1,0.92,0
1,1.40,0,0.68,1
1,2.28,3,2.22,0
1,1.04,1,1.09,1
0,0.58,2,1.35,0
2,1.32,1,1.09,1
3,2.90,1,1.18,0
2,1.82,1,2.38,1
1,0.69,0,1.40,0
1,1.42,4,1.60,1
