GH,XGH,GA,XGA,Side
0,0.91,3,1.45,1
1,0.49,1,0.96,0
2,3.23,1,0.76,1
1,0.69,3,2.21,0
0,1.23,1,1.47,1
2,1.92,1,1.20,0
0,0.33,3,1.30,1
1,0.70,0,1.50,0
0,0.69,1,2.13,1
1,1.53,3,2.29,0
1,0.98,3,3.36,1
1,1.71,2,1.31,0
6,4.16,0,0.72,0
1,0.98,3,1.13,1
1,1.50,1,0.89,0
1,1.35,1,1.22,1
2,1.85,1,0.87,0
1,2.02,3,1.83,0
3,2.40,3,1.33,1
5,3.16,1,1.68,0
1,1.83,1,0.57,1
2,1.85,0,0.57,0
2,2.21,2,1.16,1
1,1.01,4,1.88,0
4,2.14,1,1.14,1
5,3.14,0,0.09,0
1,1.15,1,0.69,1
3,2.84,2,0.44,0
1,0.72,2,0.92,1
3,3.58,2,1.09,1
2,1.90,1,2.53,0
6,2.87,2,0.81,1
0,0.58,0,0.59,0
1,1.95,0,0.19,1
