GH,XGH,GA,XGA,Side
2,1.89,1,1.11,1
3,1.55,1,0.13,0
4,3.63,1,1.20,1
1,1.59,1,0.22,0
2,1.18,0,0.54,1
4,3.05,0,0.80,0
0,3.46,0,0.21,1
2,1.73,0,0.50,0
0,0.61,0,0.39,1
3,1.67,0,0.64,0
1,2.05,2,0.41,1
1,1.85,1,0.83,1
4,2.39,1,0.73,0
1,0.36,0,0.53,1
1,0.35,0,0.28,0
1,1.54,2,2.26,1
0,0.80,0,1.27,0
2,1.54,3,1.90,0
3,1.86,0,0.55,1
0,1.06,1,1.32,0
1,1.39,2,0.76,1
0,0.88,2,1.16,0
4,3.02,2,1.30,1
2,1.46,1,1.31,0
0,0.76,1,2.22,1
0,2.71,0,0.21,0
1,1.82,0,0.86,1
2,0.97,3,0.62,0
5,2.01,3,2.24,0
2,0.86,3,1.94,1
1,2.14,2,1.23,0
1,1.37,1,1.59,1
1,1.27,1,1.65,0
2,1.98,2,0.60,1
