GH,XGH,GA,XGA,Side
2,3.13,0,0.56,0
1,0.28,0,1.64,1
6,4.05,0,0.18,0
1,1.63,1,1.44,1
1,1.95,0,0.13,0
2,1.28,2,1.55,1
2,2.87,1,1.93,0
3,1.38,1,0.58,1
0,0.20,2,1.64,1
3,0.67,2,0.86,0
0,1.93,1,1.18,1
3,2.73,1,1.27,0
0,0.57,2,2.12,1
1,1.61,0,0.60,0
0,0.87,1,1.22,1
2,2.05,0,1.08,0
0,0.80,0,1.27,1
1,1.56,6,3.27,1
2,2.40,0,0.25,0
2,1.93,1,0.75,1
2,1.73,0,0.32,0
1,0.68,2,1.82,1
2,2.00,0,1.68,0
2,1.66,1,1.30,1
1,2.28,0,0.75,0
4,4.00,0,1.05,0
0,0.55,2,2.05,1
3,3.66,2,0.98,0
2,1.48,1,2.80,1
1,1.15,2,1.32,0
3,1.61,0,1.12,1
1,2.43,0,1.19,0
0,0.75,2,1.59,1
2,1.98,2,0.60,0
