GH,XGH,GA,XGA,Side
2,3.13,0,0.56,1
0,0.91,0,1.37,0
3,1.40,0,1.43,1
1,1.38,3,1.19,0
1,0.37,1,0.82,1
1,2.21,1,0.90,0
2,3.98,1,1.07,1
2,1.44,1,1.36,0
3,2.93,0,0.31,1
1,0.86,0,0.64,0
1,2.05,2,0.41,0
0,1.39,0,0.51,1
4,2.17,0,1.84,0
1,0.91,1,0.74,1
1,0.38,1,1.85,0
1,0.72,1,1.45,1
0,0.49,0,0.41,0
1,1.56,6,3.27,0
1,1.19,0,0.62,1
2,0.93,1,1.74,0
1,0.30,1,1.78,1
3,0.94,1,0.70,0
0,0.18,3,1.61,1
2,1.43,2,1.28,0
4,1.06,2,1.70,1
2,1.36,1,1.13,0
1,0.73,0,0.65,1
2,0.97,3,0.62,1
2,1.09,1,1.40,0
1,1.19,1,1.17,1
0,2.68,0,0.28,0
4,2.86,3,1.60,1
2,2.65,2,0.97,0
2,1.29,0,0.14,1
