GH,XGH,GA,XGA,Side
1,0.31,1,1.21,0
0,0.99,2,0.85,1
3,0.45,1,1.55,0
0,0.78,2,0.35,1
2,1.18,0,0.54,0
1,2.22,2,3.31,1
2,3.98,1,1.07,0
3,1.69,3,2.52,1
2,2.21,0,0.22,0
0,0.59,2,1.16,1
0,1.93,1,1.18,0
1,3.69,1,0.50,1
2,2.24,1,1.10,0
1,0.58,0,1.51,1
1,0.57,2,2.29,0
1,1.28,2,1.55,1
1,2.02,0,0.52,0
3,1.42,1,0.49,1
1,0.81,0,0.52,0
0,0.44,2,1.89,1
0,2.12,2,1.37,0
0,0.88,2,1.16,1
5,2.01,2,0.76,0
2,1.43,2,1.28,1
1,0.57,0,1.38,0
2,1.51,1,0.77,1
2,1.36,3,1.77,0
3,3.66,2,0.98,1
3,1.61,0,0.16,0
2,2.23,4,2.21,1
0,1.50,0,0.59,0
1,0.43,1,1.38,1
1,1.27,1,1.89,0
1,2.60,1,1.13,1
