GH,XGH,GA,XGA,Side
2,1.16,2,2.48,0
1,0.95,0,0.48,1
0,1.08,4,3.30,0
1,1.59,1,0.22,1
1,0.37,1,0.82,0
2,1.04,1,0.31,1
0,0.68,1,1.82,0
3,3.34,1,0.91,1
0,0.20,2,1.64,0
3,2.98,1,0.51,1
2,1.85,3,1.13,0
1,0.68,4,1.91,0
2,1.88,1,1.13,1
1,0.58,0,1.51,0
2,1.64,0,0.20,1
3,4.92,0,0.14,0
3,3.06,0,0.62,1
2,1.48,1,0.79,1
1,3.12,0,0.07,0
0,1.40,3,1.48,1
1,1.39,2,0.76,0
3,0.94,1,0.70,1
2,0.83,2,1.38,0
0,0.59,1,1.70,1
3,1.39,0,0.69,0
4,4.00,0,1.05,1
2,2.90,3,1.63,0
1,1.51,0,0.63,1
4,1.19,0,0.69,1
1,0.77,1,0.73,0
0,1.50,0,0.59,1
1,0.23,4,2.56,0
4,2.05,5,3.62,1
2,2.26,2,1.38,0
