Home,Away
Bayern Munich,Werder Bremen
Augsburg,Wolfsburg
Hamburger SV,Ingolstadt
Eintracht Frankfurt,Schalke 04
FC Cologne,Darmstadt
Borussia Dortmund,Mainz 05
Borussia M.Gladbach,Bayer Leverkusen
Hertha Berlin,Freiburg
Hoffenheim,RasenBallsport Leipzig
Schalke 04,Bayern Munich
Wolfsburg,FC Cologne
Ingolstadt,Hertha Berlin
Darmstadt,Eintracht Frankfurt
Freiburg,Borussia M.Gladbach
Bayer Leverkusen,Hamburger SV
RasenBallsport Leipzig,Borussia Dortmund
Werder Bremen,Augsburg
Mainz 05,Hoffenheim
FC Cologne,Freiburg
Hamburger SV,RasenBallsport Leipzig
Hoffenheim,Wolfsburg
Eintracht Frankfurt,Bayer Leverkusen
Bayern Munich,Ingolstadt
Borussia Dortmund,Darmstadt
Borussia M.Gladbach,Werder Bremen
Augsburg,Mainz 05
Hertha Berlin,Schalke 04
Wolfsburg,Borussia Dortmund
Ingolstadt,Eintracht Frankfurt
Darmstadt,Hoffenheim
Freiburg,Hamburger SV
RasenBallsport Leipzig,Borussia M.Gladbach
Werder Bremen,Mainz 05
Bayern Munich,Hertha Berlin
Bayer Leverkusen,Augsburg
Schalke 04,FC Cologne
Borussia Dortmund,Freiburg
Borussia M.Gladbach,Ingolstadt
Mainz 05,Bayer Leverkusen
Hamburger SV,Bayern Munich
Augsburg,Darmstadt
Eintracht Frankfurt,Hertha Berlin
Werder Bremen,Wolfsburg
Hoffenheim,Schalke 04
FC Cologne,RasenBallsport Leipzig
RasenBallsport Leipzig,Augsburg
Bayern Munich,FC Cologne
Hertha Berlin,Hamburger SV
Ingolstadt,Hoffenheim
Darmstadt,Werder Bremen
Freiburg,Eintracht Frankfurt
Bayer Leverkusen,Borussia Dortmund
Wolfsburg,Mainz 05
Schalke 04,Borussia M.Gladbach
Borussia Dortmund,Hertha Berlin
Borussia M.Gladbach,Hamburger SV
FC Cologne,Ingolstadt
Augsburg,Schalke 04
Hoffenheim,Freiburg
Eintracht Frankfurt,Bayern Munich
Werder Bremen,Bayer Leverkusen
Mainz 05,Darmstadt
Wolfsburg,RasenBallsport Leipzig
Hamburger SV,Eintracht Frankfurt
Ingolstadt,Borussia Dortmund
Darmstadt,Wolfsburg
Freiburg,Augsburg
Hertha Berlin,FC Cologne
Bayer Leverkusen,Hoffenheim
Bayern Munich,Borussia M.Gladbach
RasenBallsport Leipzig,Werder Bremen
Schalke 04,Mainz 05
Borussia M.Gladbach,Eintracht Frankfurt
Mainz 05,Ingolstadt
Wolfsburg,Bayer Leverkusen
Augsburg,Bayern Munich
Werder Bremen,Freiburg
Darmstadt,RasenBallsport Leipzig
Borussia Dortmund,Schalke 04
Hoffenheim,Hertha Berlin
FC Cologne,Hamburger SV
Hertha Berlin,Borussia M.Gladbach
Hamburger SV,Borussia Dortmund
Ingolstadt,Augsburg
Bayern Munich,Hoffenheim
Bayer Leverkusen,Darmstadt
Freiburg,Wolfsburg
Eintracht Frankfurt,FC Cologne
RasenBallsport Leipzig,Mainz 05
Schalke 04,Werder Bremen
Bayer Leverkusen,RasenBallsport Leipzig
Borussia M.Gladbach,FC Cologne
Mainz 05,Freiburg
Wolfsburg,Schalke 04
Augsburg,Hertha Berlin
Darmstadt,Ingolstadt
Borussia Dortmund,Bayern Munich
Hoffenheim,Hamburger SV
Werder Bremen,Eintracht Frankfurt
Freiburg,RasenBallsport Leipzig
FC Cologne,Augsburg
Borussia M.Gladbach,Hoffenheim
Hamburger SV,Werder Bremen
Ingolstadt,Wolfsburg
Eintracht Frankfurt,Borussia Dortmund
Bayern Munich,Bayer Leverkusen
Schalke 04,Darmstadt
Hertha Berlin,Mainz 05
Mainz 05,Bayern Munich
Wolfsburg,Hertha Berlin
Borussia Dortmund,Borussia M.Gladbach
Bayer Leverkusen,Freiburg
Hoffenheim,FC Cologne
Werder Bremen,Ingolstadt
RasenBallsport Leipzig,Schalke 04
Darmstadt,Hamburger SV
Augsburg,Eintracht Frankfurt
Eintracht Frankfurt,Hoffenheim
Freiburg,Darmstadt
FC Cologne,Borussia Dortmund
Hamburger SV,Augsburg
Ingolstadt,RasenBallsport Leipzig
Bayern Munich,Wolfsburg
Hertha Berlin,Werder Bremen
Borussia M.Gladbach,Mainz 05
Schalke 04,Bayer Leverkusen
Hoffenheim,Borussia Dortmund
Augsburg,Borussia M.Gladbach
Werder Bremen,FC Cologne
RasenBallsport Leipzig,Hertha Berlin
Schalke 04,Freiburg
Mainz 05,Hamburger SV
Wolfsburg,Eintracht Frankfurt
Darmstadt,Bayern Munich
Bayer Leverkusen,Ingolstadt
Eintracht Frankfurt,Mainz 05
Borussia M.Gladbach,Wolfsburg
Hamburger SV,Schalke 04
Borussia Dortmund,Augsburg
Ingolstadt,Freiburg
Hoffenheim,Werder Bremen
Hertha Berlin,Darmstadt
FC Cologne,Bayer Leverkusen
Bayern Munich,RasenBallsport Leipzig
