GH,XGH,GA,XGA,Side
3,2.78,1,1.89,1
0,0.23,2,1.40,0
2,0.61,0,1.51,0
4,4.42,0,0.71,1
0,1.16,3,2.46,0
2,2.34,2,0.47,1
2,1.66,2,1.51,0
5,1.59,0,0.35,1
0,0.16,1,2.30,0
2,2.04,0,0.31,1
1,1.89,3,1.28,0
3,1.92,0,0.28,1
2,2.13,1,0.90,0
3,3.87,1,1.08,1
0,0.49,1,0.36,0
1,3.34,0,0.30,1
0,1.10,1,1.44,0
1,0.62,3,1.49,0
4,1.89,2,0.86,1
5,2.84,2,1.02,1
0,1.12,2,1.62,0
2,1.20,1,0.90,1
1,0.47,2,3.23,0
0,1.66,0,0.10,1
0,0.47,4,1.99,0
6,4.92,0,0.01,1
2,2.78,1,1.40,0
6,4.60,0,0.49,1
1,0.89,4,2.32,0
5,3.36,1,0.20,1
0,0.24,3,2.01,0
4,1.90,1,1.25,1
1,1.94,3,2.76,0
1,1.93,4,2.46,1
