GH,XGH,GA,XGA,Side
0,0.50,3,1.12,0
2,2.07,0,0.41,1
0,0.49,0,1.57,0
5,3.85,0,0.46,1
0,0.19,3,3.18,0
6,4.84,1,1.12,1
1,1.04,2,1.94,0
2,2.11,3,2.39,1
2,2.74,2,2.09,0
4,2.34,2,0.85,0
1,1.89,3,1.28,1
2,1.14,1,1.79,0
4,2.39,4,1.25,1
1,2.20,1,1.15,0
1,1.87,2,0.94,1
0,0.50,2,2.02,0
2,3.38,1,1.32,1
0,2.56,0,0.70,1
1,0.80,1,1.65,0
2,0.68,2,0.76,1
2,2.01,3,2.41,0
2,2.58,0,0.49,1
0,1.85,1,0.36,0
1,1.20,1,1.01,1
1,1.04,1,1.66,0
3,1.28,2,1.23,1
1,2.44,0,0.66,1
6,4.60,0,0.49,0
3,1.60,0,0.61,1
2,0.86,0,0.93,0
4,3.54,0,0.41,1
1,1.23,1,2.48,0
1,0.55,2,1.21,1
3,1.07,1,1.58,0
