GH,XGH,GA,XGA,Side
0,0.53,1,0.61,0
1,0.81,0,0.40,1
1,1.13,1,0.48,0
2,2.30,0,0.45,1
1,2.89,1,1.03,0
0,1.36,0,1.11,1
2,2.30,1,1.37,0
1,0.65,2,0.88,1
1,0.86,2,0.80,0
4,2.34,2,0.85,1
2,1.85,1,0.77,0
4,2.62,0,1.13,0
1,1.88,1,1.59,1
3,3.87,1,1.08,0
2,1.49,0,0.75,1
3,2.56,1,1.89,0
4,2.18,4,2.07,1
3,1.80,2,0.43,1
1,0.64,1,0.90,0
0,0.78,1,0.25,1
1,1.48,1,1.13,0
2,0.97,1,1.24,1
1,0.24,1,1.21,0
0,2.15,1,1.51,1
1,2.17,0,0.78,0
1,0.74,3,2.09,1
1,2.44,0,0.66,0
2,1.34,3,3.09,1
2,1.60,1,1.81,1
1,0.85,1,0.38,0
0,0.24,3,2.01,1
3,1.89,1,1.27,0
3,1.53,1,1.07,1
3,4.43,2,1.57,0
