GH,XGH,GA,XGA,Side
0,0.53,1,0.61,1
1,2.09,0,0.39,0
3,1.34,1,0.96,1
4,4.42,0,0.71,0
2,1.12,3,0.96,1
1,1.18,0,0.54,1
1,0.74,1,0.90,0
3,1.25,2,1.99,1
2,1.79,0,0.60,0
1,0.28,1,0.45,1
1,0.79,1,0.83,0
1,1.45,0,0.58,1
2,1.83,1,0.71,0
1,0.58,3,2.19,1
2,1.25,2,1.28,0
0,0.50,2,2.02,1
2,1.20,2,1.05,0
3,1.80,2,0.43,0
3,2.37,2,0.72,1
2,1.50,0,0.14,0
0,1.12,2,1.62,1
4,2.98,2,1.45,0
0,0.41,2,1.22,0
1,0.77,1,1.01,1
0,1.75,0,0.41,0
0,0.49,1,0.21,1
3,2.12,0,0.53,0
0,0.63,0,0.66,1
1,1.31,1,1.09,0
2,2.06,0,0.37,1
2,1.66,0,0.29,0
3,2.17,0,1.05,1
1,0.55,2,1.21,0
1,0.54,2,1.06,1
