GH,XGH,GA,XGA,Side
0,1.47,2,0.81,0
1,1.25,2,1.34,1
3,1.96,1,0.20,0
1,1.80,1,1.88,1
3,1.55,1,1.12,0
4,2.76,1,0.61,1
1,2.24,2,1.03,0
7,3.51,1,0.67,1
1,0.95,1,1.00,0
0,1.02,3,3.33,0
3,2.51,0,0.61,1
1,2.01,3,3.22,0
1,1.54,2,1.73,1
1,0.24,0,1.13,0
2,3.60,1,0.74,1
2,1.61,2,1.09,0
0,1.31,3,2.04,1
3,2.91,1,1.55,1
2,2.60,2,1.65,0
1,1.44,1,1.88,1
0,1.59,0,0.50,0
1,1.16,1,1.17,1
0,0.39,3,2.34,0
3,2.31,2,1.76,1
0,0.84,3,2.76,0
1,2.59,0,0.70,1
3,2.01,0,0.57,1
1,1.20,2,2.25,0
1,2.10,3,2.22,1
1,2.01,1,1.62,0
0,2.16,0,1.18,1
6,2.79,1,0.17,0
0,1.71,2,1.25,1
5,4.63,1,0.95,0
