GH,XGH,GA,XGA,Side
1,1.33,2,0.76,1
1,2.25,1,1.44,0
2,1.78,1,2.20,1
0,1.39,0,1.24,0
1,1.75,2,1.48,1
3,2.42,0,1.17,0
0,0.56,2,1.76,1
7,3.51,1,0.67,0
0,0.25,3,1.75,1
3,3.16,0,0.72,0
4,2.90,1,0.96,1
3,2.81,3,1.37,0
0,1.11,1,1.03,1
3,2.84,1,1.38,0
2,2.60,0,0.80,1
2,1.37,1,1.30,1
0,0.67,1,1.13,0
1,0.87,2,1.04,0
0,0.29,4,2.03,1
1,1.64,1,1.18,0
3,1.65,0,1.18,1
2,1.90,0,0.21,0
2,1.55,1,0.11,1
0,0.71,4,2.89,0
0,0.84,3,2.76,1
5,3.88,2,1.94,0
3,1.67,1,1.34,1
1,1.90,2,2.73,0
1,0.97,4,3.35,1
3,3.24,1,2.53,0
4,2.07,1,2.74,1
1,1.26,1,0.91,0
3,2.04,2,2.08,0
2,2.17,1,1.04,1
