GH,XGH,GA,XGA,Side
0,1.47,2,0.81,1
3,3.48,1,1.54,0
3,1.21,3,1.20,1
1,0.83,3,2.27,0
1,1.38,0,0.93,1
4,4.38,1,1.62,0
0,0.50,0,0.55,1
1,0.88,1,0.43,0
3,1.41,1,1.15,1
1,1.85,1,0.59,0
1,1.86,3,0.77,1
1,2.98,1,2.14,1
2,2.69,0,0.14,0
3,2.03,0,1.23,1
2,2.60,0,0.80,0
1,1.63,1,2.02,1
0,1.14,1,0.32,0
3,2.91,1,1.55,0
2,1.77,4,3.27,1
2,0.85,2,2.53,0
3,0.82,3,1.92,1
0,0.61,0,1.10,0
5,2.01,1,1.55,1
2,3.26,0,0.26,0
2,0.97,1,1.02,1
1,1.17,1,0.51,0
1,0.72,1,3.24,1
5,2.27,0,1.81,0
2,1.82,1,0.55,0
0,0.54,4,2.92,1
2,2.05,1,0.87,0
1,1.26,1,0.91,1
3,2.30,0,0.67,0
5,1.09,1,0.73,1
