GH,XGH,GA,XGA,Side
1,1.03,0,1.34,1
0,1.60,2,0.57,0
2,2.24,2,0.59,0
4,3.96,2,2.65,1
3,2.52,1,0.94,0
2,1.49,0,2.41,1
0,1.57,0,1.00,0
1,0.88,1,0.43,1
2,3.57,2,2.04,0
0,1.79,3,3.76,1
4,2.90,1,0.96,0
3,2.69,3,1.68,1
0,0.54,2,2.11,0
1,0.24,0,1.13,1
2,1.44,1,1.54,0
2,1.75,2,0.73,1
3,1.82,1,1.27,0
1,1.12,3,2.25,0
2,1.42,2,1.04,1
0,1.70,1,1.18,1
0,1.30,3,2.49,0
1,1.10,1,0.39,1
1,0.99,0,0.28,0
2,1.77,1,0.84,1
2,0.97,1,1.02,0
2,2.21,3,2.24,1
5,5.04,0,0.90,0
1,1.90,2,2.73,1
2,3.53,0,0.31,0
0,1.08,0,0.53,1
0,2.16,0,1.18,0
3,2.29,1,1.39,1
3,1.43,4,2.58,0
1,1.20,5,2.37,1
