GH,XGH,GA,XGA,Side
1,1.03,0,1.34,0
1,1.56,1,0.37,1
1,0.70,1,0.51,0
2,1.65,0,0.56,1
7,2.19,0,0.15,0
3,2.42,0,1.17,1
6,3.18,0,0.39,0
1,1.11,3,2.46,1
1,0.95,1,1.00,1
2,2.62,2,1.38,0
0,0.43,2,1.55,1
5,2.77,2,2.30,0
1,0.68,1,1.39,1
3,2.82,0,0.19,0
0,0.60,2,0.70,1
2,3.62,0,1.14,0
0,1.14,1,0.32,1
1,1.12,3,2.25,1
2,2.36,1,0.33,0
1,1.10,1,1.11,1
2,1.43,0,0.98,0
0,0.50,0,0.93,1
2,1.55,1,0.11,0
0,1.03,1,0.92,1
2,2.64,1,0.79,0
1,2.59,0,0.70,0
3,1.77,0,0.87,1
1,1.62,1,2.38,0
1,2.36,1,0.85,1
2,1.51,0,0.25,0
1,1.91,1,1.69,1
2,1.18,0,0.57,0
0,0.80,4,1.76,1
5,1.09,1,0.73,0
