GH,XGH,GA,XGA,Side
2,1.31,1,1.86,0
0,1.60,2,0.57,1
2,1.40,1,0.73,0
0,0.36,2,2.59,1
1,1.38,0,0.93,0
1,1.59,0,0.64,1
0,0.56,2,1.76,0
0,0.97,2,0.40,1
0,0.76,0,0.75,0
3,2.95,1,1.18,1
3,2.51,0,0.61,0
5,2.77,2,2.30,1
1,2.36,1,2.16,0
1,1.45,2,0.90,1
1,2.01,1,0.76,0
1,1.84,2,0.68,1
1,1.22,3,2.43,0
2,3.03,1,1.73,1
2,1.42,2,1.04,0
0,0.66,2,1.87,1
3,2.36,1,1.40,0
0,0.61,0,1.10,1
3,2.45,0,0.75,0
0,0.71,4,2.89,1
4,2.45,2,1.54,0
0,1.01,1,1.69,1
0,0.76,1,0.86,0
1,1.20,2,2.25,1
1,2.36,1,0.85,0
2,2.02,5,1.87,1
2,1.10,4,1.12,0
0,1.82,0,0.59,1
1,1.62,1,1.79,0
0,0.69,0,0.67,1
