GH,XGH,GA,XGA,Side
2,1.28,2,0.61,0
2,1.33,2,1.43,1
3,1.45,6,2.03,1
0,0.60,2,0.81,0
2,2.56,3,1.63,1
1,1.53,1,0.48,0
2,1.62,1,2.14,0
3,1.67,0,0.37,1
1,1.56,3,1.32,0
0,1.15,0,0.69,1
1,0.51,1,1.32,0
2,1.83,1,1.12,1
2,1.13,1,0.93,0
1,1.28,1,0.30,1
1,2.25,0,0.39,0
3,0.75,1,0.97,1
3,2.21,0,0.60,0
0,1.01,1,1.40,1
3,1.71,2,1.07,0
2,1.96,0,0.96,0
1,0.95,1,1.51,1
0,1.49,0,0.20,1
0,1.21,1,1.36,0
0,0.23,0,1.04,1
1,0.90,0,0.71,0
2,2.05,2,2.00,1
2,1.39,0,0.37,0
2,1.04,0,0.42,0
3,2.26,0,0.81,1
1,1.39,2,0.84,0
1,1.02,0,0.53,1
1,1.10,1,0.84,0
1,2.36,0,1.06,1
3,1.08,0,0.75,1
3,1.56,2,1.40,0
0,1.14,2,1.20,1
1,0.81,2,2.07,0
0,0.65,1,1.39,1
