GH,XGH,GA,XGA,Side
0,1.90,1,1.12,0
1,0.87,1,1.61,1
2,0.64,1,0.29,0
2,0.44,2,0.66,1
2,1.92,2,0.85,0
2,1.12,4,1.79,1
2,1.07,0,0.62,1
2,2.15,2,0.55,0
0,0.68,0,0.22,0
0,0.26,1,1.90,1
1,1.10,0,0.53,0
1,0.94,2,2.16,1
3,1.77,0,0.23,0
1,1.28,1,0.30,0
0,0.59,0,1.06,1
2,1.22,0,0.44,0
0,0.83,1,1.45,1
1,1.36,3,0.86,0
0,1.72,1,0.18,1
2,1.96,0,0.96,1
1,0.78,0,0.40,0
3,2.69,0,0.42,0
0,0.99,3,0.51,1
1,0.99,1,1.13,0
2,0.99,0,0.42,1
2,1.09,1,0.19,1
1,0.90,0,0.34,0
1,1.39,1,1.23,1
0,0.54,0,1.05,0
2,1.32,3,0.76,1
3,1.50,1,0.92,0
2,2.37,0,0.74,0
0,0.91,2,2.38,0
1,0.73,0,0.52,1
1,0.47,3,2.95,1
0,1.13,1,1.21,1
2,1.70,0,1.13,0
0,0.98,0,0.40,1
