GH,XGH,GA,XGA,Side
0,1.90,1,1.12,1
4,2.39,0,1.08,0
1,1.27,0,0.96,1
4,2.21,0,0.56,0
2,1.06,2,1.46,1
2,2.34,1,0.46,0
2,1.64,0,0.70,0
2,2.61,3,1.52,1
2,0.82,0,1.19,1
2,2.24,1,0.51,0
2,1.86,2,1.70,1
1,1.48,0,0.40,0
3,2.98,2,2.10,1
2,1.54,0,0.79,0
2,1.64,0,1.26,1
3,0.75,1,0.97,0
3,2.93,2,1.30,1
2,2.14,1,1.22,0
0,0.41,0,0.33,1
1,3.16,1,1.70,1
2,2.19,1,1.70,0
0,0.93,2,1.56,1
3,0.78,1,1.12,0
0,1.03,1,0.96,1
0,1.81,2,1.27,0
2,1.09,1,0.19,0
1,0.32,2,2.17,1
1,1.50,2,2.62,1
3,2.20,1,0.27,0
1,1.39,2,0.84,1
1,2.13,4,1.21,0
3,1.87,3,1.43,0
0,0.78,1,0.92,1
0,2.28,0,0.82,1
2,2.29,1,0.39,0
6,5.35,0,0.87,0
2,0.47,1,2.11,1
5,2.17,1,1.27,0
