GH,XGH,GA,XGA,Side
2,1.68,2,0.99,0
1,0.67,1,0.94,1
1,1.27,0,0.96,0
2,0.34,2,2.04,1
0,0.71,0,0.64,0
0,1.40,0,0.16,1
3,1.41,1,0.48,1
8,3.71,0,0.92,0
0,0.44,2,1.47,1
1,0.77,3,0.73,0
1,0.51,1,1.32,1
0,0.69,0,0.89,0
0,1.03,0,0.76,1
1,0.41,4,1.04,1
0,0.66,0,0.27,0
1,1.34,1,0.87,1
0,0.90,1,2.18,0
1,1.36,3,0.86,1
0,0.65,0,0.85,0
3,3.63,2,0.98,0
0,0.25,1,2.16,1
2,0.93,1,1.20,0
2,1.90,0,1.35,1
1,1.86,1,0.14,0
0,1.81,2,1.27,1
0,0.70,0,0.11,1
2,3.04,0,0.27,0
1,1.39,1,1.23,0
0,0.47,4,1.50,1
1,1.00,0,0.54,0
1,0.83,0,0.80,1
1,0.62,4,2.35,1
1,2.15,1,2.18,0
2,1.98,1,0.91,1
0,1.14,2,1.20,0
0,0.94,0,0.68,1
0,1.69,0,1.50,0
3,2.53,1,1.39,0
