GH,XGH,GA,XGA,Side
0,1.85,1,1.02,0
4,2.39,0,1.08,1
0,0.49,3,2.74,1
2,0.34,2,2.04,0
0,0.44,1,1.08,1
1,1.26,1,0.67,0
1,0.90,0,1.15,1
4,3.75,1,2.32,0
1,2.04,2,0.74,1
1,0.87,2,2.54,0
1,1.28,2,1.25,1
1,0.94,2,2.16,0
2,1.13,1,0.93,1
3,1.72,0,0.29,0
0,0.96,0,1.17,1
1,1.68,2,0.73,0
2,1.77,1,0.66,1
1,1.47,2,1.36,0
0,0.89,0,2.26,1
5,1.82,3,3.03,1
2,2.86,1,0.92,0
2,0.93,1,1.20,1
0,0.81,3,1.34,0
2,1.28,1,0.83,1
3,2.76,2,1.71,0
2,2.18,2,2.21,1
3,2.13,2,0.71,1
1,1.50,2,2.62,0
3,1.03,0,0.21,0
4,2.83,3,2.72,1
0,1.51,0,0.38,0
0,0.62,1,0.86,1
1,0.94,3,2.00,0
2,1.39,2,0.53,0
0,2.07,1,1.81,1
3,2.14,0,0.30,0
2,1.70,0,1.13,1
0,0.65,1,1.39,0
