GH,XGH,GA,XGA,Side
0,0.88,1,0.78,0
0,0.22,1,0.66,1
2,1.24,1,0.77,0
2,2.27,2,0.37,1
3,1.35,2,0.95,0
0,0.88,1,0.63,1
3,1.78,2,0.89,0
0,0.84,1,1.03,1
2,1.23,0,0.80,0
1,1.10,2,1.74,1
3,1.14,1,0.33,0
0,0.18,0,1.53,1
4,2.83,0,0.32,0
2,1.49,3,1.45,1
1,2.86,1,1.06,0
0,1.01,2,1.68,1
1,1.28,1,0.40,0
1,1.61,1,0.84,1
2,1.10,0,0.24,0
3,0.76,1,0.28,0
1,0.55,0,0.55,1
1,0.67,1,2.22,1
0,0.23,0,0.56,0
2,2.35,0,0.11,0
2,0.92,0,1.14,1
0,0.17,6,2.01,1
2,2.04,1,0.41,0
1,0.60,3,2.64,1
4,2.83,0,0.12,0
0,1.84,2,2.00,1
1,0.49,0,0.73,0
0,0.73,4,2.49,1
1,0.22,2,1.00,1
1,1.09,0,0.26,0
2,1.47,4,3.66,1
3,1.36,2,0.49,0
0,0.03,0,1.10,1
4,3.40,0,0.22,0
