GH,XGH,GA,XGA,Side
0,0.88,1,0.78,1
1,2.15,0,0.46,0
3,1.50,4,2.86,0
1,0.32,1,0.92,1
3,1.33,1,0.39,0
2,0.64,0,0.85,1
2,1.94,1,0.87,0
1,1.50,1,0.91,1
5,4.71,1,0.17,0
1,0.49,5,3.43,1
2,1.16,0,0.71,0
0,1.00,1,0.50,1
2,1.89,2,1.59,0
3,1.69,3,0.73,1
0,1.67,1,1.26,0
2,1.05,1,1.97,1
1,0.70,2,1.89,0
0,0.87,0,0.41,1
2,3.13,0,0.34,0
0,2.29,0,1.26,0
1,0.73,3,1.18,1
3,2.53,0,0.60,1
1,0.61,1,1.27,0
1,1.62,2,1.17,0
0,0.58,2,1.14,1
1,1.19,3,0.93,1
0,1.00,0,0.96,0
2,1.41,0,0.95,1
1,0.83,3,1.27,0
3,0.71,2,1.10,1
3,2.03,0,0.12,0
0,1.32,4,0.87,1
1,0.22,2,1.00,0
1,0.86,2,1.81,1
1,0.58,4,2.07,1
2,0.95,1,1.43,0
1,0.81,1,1.34,1
3,1.72,1,0.50,0
