GH,XGH,GA,XGA,Side
1,1.13,3,2.11,1
1,0.33,3,1.72,0
1,3.15,1,0.70,1
3,2.86,0,0.64,0
3,1.33,1,0.39,1
1,1.90,1,0.56,0
2,2.60,2,1.39,0
1,1.18,2,3.00,1
6,2.25,2,1.34,0
0,1.03,1,1.45,1
2,2.84,1,1.17,0
1,1.20,0,0.40,1
1,2.16,0,0.20,0
1,1.01,1,1.66,1
2,2.07,0,0.31,0
1,1.49,1,2.44,1
1,1.01,2,0.56,0
3,2.41,0,0.45,0
2,1.10,0,0.24,1
1,1.51,0,0.93,1
3,1.24,1,0.19,0
3,2.53,0,0.60,0
4,1.03,5,1.45,1
0,0.93,3,2.75,1
2,0.92,0,1.14,0
2,1.03,2,0.74,1
1,1.76,0,0.81,0
1,1.24,2,0.98,1
1,0.55,0,0.58,0
0,0.14,0,0.56,1
0,0.33,1,0.80,0
3,1.65,2,1.47,1
1,1.45,0,0.68,0
0,1.09,3,2.00,1
1,0.78,0,0.58,0
0,1.37,1,1.48,1
4,2.42,2,1.77,1
3,2.41,0,0.43,0
