GH,XGH,GA,XGA,Side
0,1.33,2,0.54,0
1,0.51,2,1.81,1
3,1.50,4,2.86,1
0,0.56,3,0.97,0
2,1.71,0,0.72,1
1,2.98,2,1.00,0
2,2.60,2,1.39,1
2,1.08,2,1.94,0
1,1.08,3,2.76,0
2,0.77,1,1.14,1
2,1.62,0,0.61,0
1,0.59,1,1.09,1
4,3.22,1,0.82,0
1,1.41,1,0.87,1
0,1.76,0,1.10,0
0,1.13,0,1.87,1
0,0.97,0,0.40,0
1,1.61,1,0.84,0
2,1.80,1,1.37,1
2,2.07,0,1.87,1
1,0.73,3,1.18,0
2,1.84,1,1.08,0
2,1.01,2,1.73,1
2,2.35,0,0.11,1
1,1.06,0,0.97,0
2,1.03,2,0.74,0
1,0.52,0,1.08,1
1,0.78,0,1.23,1
2,2.09,3,2.72,0
2,2.14,2,0.86,0
2,1.71,2,1.66,1
3,1.11,3,1.47,1
2,1.95,2,1.57,0
3,3.96,1,1.22,1
0,1.53,3,1.27,0
1,2.39,4,2.47,1
3,2.13,2,0.64,1
2,0.29,1,2.94,0
