GH,XGH,GA,XGA,Side
0,0.99,1,0.68,1
1,2.26,0,0.36,0
1,2.66,1,0.97,1
1,0.61,2,1.12,0
4,1.31,1,1.20,1
2,1.51,3,1.79,0
1,1.15,1,0.48,0
0,1.95,1,0.87,1
3,1.70,1,1.66,0
2,0.50,4,2.26,1
3,2.26,2,2.06,0
1,0.43,2,1.39,1
5,3.40,4,2.28,0
3,2.20,0,0.76,1
3,2.17,3,1.50,0
1,0.71,2,1.27,1
0,0.36,1,0.81,1
1,0.96,1,1.54,0
2,1.67,0,0.22,0
1,0.33,2,1.19,1
3,1.72,0,1.06,0
0,0.46,1,0.95,1
0,0.32,2,1.61,0
0,2.46,4,0.84,1
1,0.72,0,0.20,0
1,0.81,0,0.83,1
0,0.37,2,1.39,0
1,0.38,0,0.19,1
1,3.17,2,1.57,0
3,3.34,1,1.73,0
3,2.16,0,0.44,1
2,1.68,2,0.47,1
1,0.89,2,1.22,0
0,0.32,1,1.01,1
0,0.63,2,1.39,1
5,2.70,0,0.24,0
4,2.73,0,0.52,1
2,1.04,0,0.30,0
