GH,XGH,GA,XGA,Side
1,0.52,3,1.91,0
2,1.37,0,0.61,1
0,0.27,1,2.47,0
1,1.01,2,1.89,1
3,1.75,1,1.41,0
4,2.46,1,0.29,1
1,2.81,1,1.20,1
0,0.27,0,0.54,0
4,2.25,0,0.74,0
0,2.72,0,0.33,1
1,0.51,3,1.00,0
1,0.51,1,0.58,1
1,1.44,1,0.75,1
1,1.65,1,0.54,0
1,1.05,0,0.72,1
1,0.71,2,1.27,0
0,0.60,2,0.98,0
3,2.32,1,0.49,1
2,2.54,1,0.64,1
0,0.80,2,1.65,0
1,1.03,1,1.46,1
1,0.35,1,1.74,0
0,1.48,0,0.40,1
0,0.49,3,1.99,0
2,2.63,0,0.64,1
1,2.54,1,0.82,1
1,1.09,3,2.47,0
0,0.99,0,0.20,1
1,1.67,1,0.59,1
0,0.98,3,1.69,0
2,0.81,0,0.13,1
0,0.34,2,2.25,0
0,1.42,0,0.42,0
1,1.99,1,0.78,1
2,1.04,0,0.58,0
2,2.11,1,1.04,0
0,1.67,0,0.46,0
2,1.04,0,0.30,1
