GH,XGH,GA,XGA,Side
1,1.81,1,0.49,1
1,1.46,2,0.85,0
0,0.70,0,0.40,0
1,0.61,2,1.12,1
3,1.17,1,0.18,0
1,0.36,2,1.42,1
1,0.88,1,0.85,0
0,0.53,1,0.09,1
0,0.71,0,1.56,0
2,1.44,0,1.55,1
1,2.50,1,0.21,0
0,0.56,1,1.69,1
2,2.05,2,0.43,0
1,1.95,0,0.22,1
1,1.73,0,0.49,0
0,0.16,3,2.14,1
3,1.72,0,0.60,1
1,0.28,0,0.70,0
2,2.54,1,0.64,0
0,0.70,0,0.48,1
0,0.84,0,0.33,0
1,0.96,3,2.66,1
1,1.18,1,1.25,1
1,2.10,0,0.50,0
0,0.65,0,0.83,1
1,0.81,0,0.83,0
2,2.98,0,0.27,0
1,1.09,3,2.47,1
0,0.64,0,0.75,0
4,2.23,2,1.31,0
0,0.68,0,0.81,1
1,1.72,2,1.07,1
4,3.28,0,0.21,0
1,0.83,0,0.45,1
2,1.18,2,3.11,1
3,2.28,0,0.07,0
1,1.33,2,1.53,1
3,2.17,0,0.90,0
