GH,XGH,GA,XGA,Side
1,0.94,1,0.18,1
2,1.37,0,0.61,0
1,0.61,1,1.39,1
2,1.89,1,1.18,0
1,2.15,0,0.49,1
0,0.69,3,2.98,0
0,0.45,0,0.92,0
3,4.21,1,1.03,1
1,1.15,1,0.56,0
0,0.42,2,1.15,1
2,0.56,1,2.03,0
0,0.09,0,1.69,1
1,2.81,0,0.62,1
3,2.20,0,0.76,0
1,1.73,0,0.49,1
0,0.33,0,0.72,0
1,0.49,3,1.69,0
1,0.40,4,1.61,1
1,0.37,2,0.67,1
3,2.35,0,1.01,0
1,0.46,0,0.96,0
3,2.50,0,0.94,1
2,0.76,1,0.91,0
1,1.06,3,0.92,1
0,0.20,4,1.73,0
3,1.40,4,1.34,0
2,1.64,1,0.84,0
0,1.00,0,2.06,1
3,3.34,1,1.73,1
0,2.02,1,0.91,0
0,0.62,3,2.74,1
4,1.44,2,1.33,0
0,1.25,0,0.47,1
0,1.36,0,0.18,0
0,1.25,2,1.36,1
1,1.33,2,1.53,0
0,1.67,0,0.46,1
0,1.36,1,0.98,1
