GH,XGH,GA,XGA,Side
1,1.81,1,0.49,0
1,1.31,4,2.17,1
1,2.32,0,0.19,0
0,1.02,4,2.77,1
4,1.31,1,1.20,0
1,0.98,1,0.27,1
1,2.81,1,1.20,0
2,2.30,0,0.59,1
0,0.70,2,1.04,0
3,2.16,1,1.10,1
1,0.40,1,0.81,0
0,1.60,1,1.24,1
0,0.54,1,0.70,0
2,1.13,0,0.77,1
3,1.58,1,1.29,0
0,0.33,0,0.72,1
2,2.52,2,1.26,1
4,1.67,1,0.39,0
4,1.95,2,0.86,0
2,1.85,0,0.51,1
1,1.14,3,1.23,0
1,0.35,1,1.74,1
1,1.74,1,0.87,1
1,1.85,0,1.11,0
1,0.72,0,0.20,1
4,1.89,0,0.74,0
2,2.98,0,0.27,1
0,1.30,0,0.34,0
1,0.95,2,1.96,1
2,1.97,0,1.37,0
1,0.35,0,1.17,0
1,2.14,2,1.02,1
3,2.02,1,1.18,1
2,0.48,0,1.69,0
0,1.36,0,0.65,1
2,1.31,2,2.30,0
1,1.30,4,2.64,1
0,1.36,1,0.98,0
