GH,XGH,GA,XGA,Side
0,1.05,1,1.72,0
0,1.14,2,2.19,1
2,2.48,1,0.33,0
2,1.23,2,2.19,1
1,2.15,0,0.49,0
1,1.11,3,2.58,1
1,2.66,2,2.02,1
3,3.51,2,1.75,0
0,1.33,0,0.48,1
3,2.16,1,1.10,0
1,0.51,3,1.00,1
1,1.55,1,1.07,0
5,3.40,4,2.28,1
5,3.98,0,0.03,0
3,2.18,0,0.67,1
3,1.78,1,1.07,0
3,1.72,0,0.60,0
1,0.95,4,3.41,1
0,0.52,3,2.44,1
1,0.33,2,1.19,0
0,0.49,4,2.32,1
2,1.24,3,1.60,0
2,0.76,1,0.91,1
2,2.88,1,0.11,0
2,0.69,0,0.67,1
3,1.23,1,0.28,0
3,1.45,2,0.93,1
2,1.99,1,1.44,0
2,1.01,0,0.38,0
0,0.64,0,0.75,1
1,0.87,3,2.22,1
1,1.21,0,0.31,0
1,1.22,0,0.64,0
2,0.48,0,1.69,1
1,1.99,1,0.78,0
1,2.09,0,0.27,1
0,1.04,2,0.34,0
2,1.75,1,1.61,1
