GH,XGH,GA,XGA,Side
1,0.94,1,0.18,0
1,0.80,2,1.76,1
1,1.08,3,2.03,1
2,1.32,4,1.85,0
3,1.75,1,1.41,1
2,0.57,0,0.78,0
2,1.23,2,1.35,1
0,0.53,1,0.09,0
0,1.33,0,0.48,0
1,1.15,0,0.25,1
6,4.18,1,0.77,0
2,0.72,1,1.20,1
0,0.54,1,0.70,1
3,1.18,1,1.48,0
3,1.49,2,1.10,1
2,1.62,0,0.50,0
1,1.14,0,1.08,0
1,0.96,1,1.54,1
1,1.26,4,3.07,1
2,1.85,0,0.51,0
0,0.84,0,0.33,1
2,1.15,2,1.09,0
1,1.08,2,0.92,0
2,1.66,1,1.48,1
2,2.63,0,0.64,0
1,1.21,1,1.48,1
3,1.40,4,1.34,1
1,0.38,0,0.19,0
1,1.96,0,0.35,1
2,0.69,0,1.48,1
4,1.19,0,0.37,0
1,1.22,0,0.64,1
2,1.42,0,1.16,0
0,0.44,1,0.56,1
3,1.01,0,0.51,0
1,1.13,0,1.55,0
4,2.65,3,0.88,0
0,0.83,5,3.27,1
