GH,XGH,GA,XGA,Side
0,0.28,2,1.87,1
2,1.88,0,0.12,0
0,0.28,0,0.95,0
3,0.40,1,0.87,1
2,1.40,1,0.87,0
1,0.51,0,1.37,1
2,2.48,0,0.39,0
1,1.06,1,1.46,1
0,0.57,3,1.98,0
1,1.51,1,0.54,1
0,1.25,1,0.87,0
2,0.49,2,1.21,1
1,1.50,0,0.57,0
0,0.48,0,0.58,1
1,1.66,5,1.78,1
2,2.68,0,0.27,0
2,1.87,0,0.32,0
0,1.49,0,1.33,1
1,1.40,0,1.30,1
2,2.17,0,0.45,0
0,0.50,0,0.63,0
2,2.37,2,1.28,1
2,1.38,0,0.53,0
0,0.88,4,1.52,1
1,1.27,1,1.08,0
3,1.64,1,0.44,1
1,1.40,1,0.90,0
4,3.29,1,0.44,1
2,1.48,1,0.80,1
2,1.69,0,0.32,0
0,1.60,2,1.27,1
1,1.53,1,1.49,1
3,2.50,2,1.54,0
1,0.99,1,1.36,1
0,1.55,0,0.38,0
1,0.92,0,0.65,1
3,1.65,1,1.01,0
4,3.51,0,0.04,0
