GH,XGH,GA,XGA,Side
0,0.99,3,1.74,0
1,0.27,0,0.97,1
0,1.52,0,0.80,1
2,1.95,0,0.34,0
1,0.70,1,1.24,1
0,0.37,0,0.31,0
0,0.20,4,1.56,1
2,1.65,0,0.60,0
2,1.27,1,0.81,1
3,2.14,0,0.06,0
1,0.26,0,0.38,1
4,1.39,0,1.16,0
1,0.54,2,2.66,1
5,4.48,0,0.48,0
2,0.82,0,0.22,0
2,2.68,0,0.27,1
1,0.48,3,1.87,1
1,0.59,4,3.49,0
1,1.74,1,1.09,0
1,1.88,1,1.20,1
0,0.05,0,1.21,1
3,1.45,0,0.23,0
1,0.68,4,0.99,1
2,0.99,0,0.24,0
0,0.29,3,2.05,1
2,1.63,0,0.13,0
4,2.57,1,0.43,1
1,1.50,2,1.18,0
2,1.64,0,0.14,0
0,1.39,0,0.00,1
0,0.22,2,2.75,1
1,2.54,0,0.28,0
1,1.53,1,1.49,0
1,0.93,0,0.31,1
0,0.57,2,0.94,1
0,0.79,0,0.55,0
1,2.25,1,0.63,0
0,1.31,1,2.33,1
