GH,XGH,GA,XGA,Side
4,2.54,3,1.46,0
2,1.88,0,0.12,1
2,2.74,0,0.67,0
1,1.35,2,1.04,1
1,0.70,1,1.24,0
2,2.89,3,1.93,1
0,1.40,0,0.59,0
1,0.96,1,0.16,1
1,0.56,2,1.81,0
2,1.37,0,0.58,1
2,1.23,2,1.40,0
0,0.10,2,2.40,1
1,0.78,1,0.45,0
2,0.92,1,2.51,1
1,1.61,0,0.79,1
2,0.96,3,0.44,0
1,1.12,4,2.25,0
0,0.76,3,2.26,1
2,1.56,2,2.15,1
2,1.43,1,1.55,0
2,2.57,1,0.79,0
3,1.45,0,0.23,1
0,0.62,0,1.36,0
2,1.52,0,0.74,1
2,1.53,1,2.65,0
1,1.48,1,0.57,1
5,2.59,1,0.11,0
1,1.12,1,0.17,1
1,2.98,1,1.40,1
1,0.36,4,1.87,0
0,1.60,2,1.27,0
1,1.09,2,0.29,1
2,1.06,1,2.00,0
0,0.52,0,0.65,1
5,2.79,0,0.94,0
0,0.39,2,1.43,1
3,2.20,1,1.54,1
5,1.83,4,1.27,0
