GH,XGH,GA,XGA,Side
3,2.18,3,2.62,0
1,2.85,0,0.73,1
4,3.46,0,0.48,1
5,3.15,0,0.67,0
1,2.19,1,0.33,1
2,2.89,3,1.93,0
1,0.28,1,1.64,0
0,1.93,0,0.23,1
4,2.62,1,0.67,0
3,2.14,0,0.06,1
1,1.13,4,2.88,0
3,2.06,0,0.56,1
1,1.50,1,0.74,1
0,0.85,3,2.59,0
1,1.66,5,1.78,0
1,1.90,1,0.82,1
0,2.14,0,0.52,1
0,0.54,4,3.25,0
3,1.13,3,2.06,0
5,3.06,0,0.27,1
2,2.57,1,0.79,1
1,0.90,2,1.63,0
4,1.02,3,0.72,1
1,0.50,0,2.20,0
0,0.29,3,2.05,0
2,1.29,2,2.54,1
0,0.85,2,2.36,0
4,3.92,1,0.34,1
2,1.57,0,0.26,1
2,0.85,1,0.78,0
5,1.81,0,0.35,1
1,1.91,2,1.72,0
0,0.72,0,0.95,0
3,2.64,0,0.54,1
2,1.40,2,1.64,0
0,2.12,0,0.78,1
1,0.81,0,0.43,0
4,3.51,0,0.04,1
