GH,XGH,GA,XGA,Side
0,0.28,2,1.87,0
1,1.14,1,0.60,1
1,0.42,2,1.77,0
5,3.15,0,0.67,1
0,0.80,6,3.99,0
5,5.73,0,0.61,1
0,0.91,1,1.23,0
7,4.45,2,0.68,1
3,3.72,0,0.15,1
2,1.12,3,2.77,0
3,2.15,1,0.34,1
0,0.10,2,2.40,0
1,0.54,2,2.66,0
2,1.65,1,1.71,1
2,2.46,1,0.47,1
1,1.44,2,2.03,0
0,0.59,4,3.57,0
4,4.15,1,0.18,1
4,1.56,0,0.33,1
0,0.17,1,1.93,0
0,1.72,0,1.10,0
3,2.77,1,0.97,1
4,1.02,3,0.72,0
3,2.55,1,0.99,1
3,2.69,0,0.12,1
1,0.80,1,2.25,0
5,2.59,1,0.11,1
0,1.30,3,1.93,0
1,0.95,0,0.12,1
0,0.16,2,1.65,0
1,0.86,3,1.91,0
2,3.43,3,1.22,1
1,0.45,3,3.62,0
5,3.42,0,0.30,1
1,0.23,4,2.29,0
0,0.79,0,0.55,1
3,1.65,1,1.01,1
0,0.51,1,0.77,0
