GH,XGH,GA,XGA,Side
1,1.18,0,0.38,1
0,1.37,1,0.65,0
1,0.88,1,0.98,1
3,0.40,1,0.87,0
0,0.78,0,0.27,1
2,2.39,0,0.77,0
2,1.94,2,1.62,1
1,0.96,1,0.16,0
1,2.02,0,0.50,0
2,1.12,3,2.77,1
1,0.26,0,0.38,0
0,0.59,4,1.72,1
1,1.92,1,0.72,0
2,0.85,2,1.13,1
0,1.65,0,0.81,1
1,1.01,0,0.25,0
0,2.14,0,0.52,0
1,1.08,2,0.90,1
3,1.80,1,2.05,0
0,1.18,0,0.41,1
1,1.39,1,0.92,1
2,1.06,1,0.64,0
2,1.38,0,0.53,1
1,0.92,1,1.35,0
3,2.69,0,0.12,0
2,0.88,3,1.00,1
3,2.38,0,0.63,0
1,1.50,2,1.18,1
1,1.24,0,1.09,0
1,0.36,4,1.87,1
2,0.69,1,1.74,0
1,0.39,2,1.42,1
1,1.23,1,0.66,1
0,0.64,1,0.82,0
2,1.40,2,1.64,1
0,1.58,1,0.70,0
1,1.22,0,0.97,1
2,2.36,0,0.22,0
