GH,XGH,GA,XGA,Side
0,0.45,2,2.02,1
3,1.72,2,2.46,0
3,1.79,1,1.18,1
2,0.77,3,1.41,0
1,0.41,2,0.90,0
2,0.93,0,1.07,1
2,1.57,0,2.62,1
1,1.32,5,1.14,0
3,2.92,1,0.93,1
2,2.38,2,0.85,0
1,1.62,1,1.20,1
1,0.97,1,1.87,1
1,0.65,2,1.71,0
4,2.71,2,1.09,1
2,1.34,2,1.73,0
1,2.02,0,0.31,1
3,1.21,2,1.86,0
3,1.47,1,1.03,1
1,1.39,1,0.79,0
5,3.71,1,1.08,0
4,4.43,1,1.71,1
1,0.67,0,0.69,0
2,2.09,0,0.76,1
2,2.69,1,0.60,1
3,3.03,1,0.70,0
1,1.97,2,1.47,0
2,2.35,0,0.61,1
5,3.19,1,0.89,1
1,1.77,1,3.46,0
2,1.53,0,2.37,1
2,1.04,0,0.04,1
1,2.69,0,0.20,0
0,1.13,1,2.27,0
2,1.54,3,2.56,1
3,0.98,1,0.94,0
3,3.68,0,0.60,0
1,2.36,1,1.91,1
1,1.73,3,2.87,0

