GH,XGH,GA,XGA,Side
0,1.02,0,1.41,0
1,0.39,3,1.92,1
4,1.92,2,1.57,0
0,1.10,2,2.90,1
1,3.39,0,0.21,0
4,2.29,0,0.98,1
1,1.57,2,0.11,0
1,0.35,1,1.03,1
5,4.49,0,0.37,0
0,0.27,4,3.02,1
4,2.56,2,0.88,0
0,1.51,0,0.37,0
1,1.49,2,1.68,1
2,2.04,0,0.30,0
1,1.06,3,2.74,1
1,1.81,0,0.95,1
1,1.75,0,0.45,0
3,1.47,1,1.03,0
1,1.89,5,1.89,1
2,2.90,0,0.66,1
1,0.62,2,2.66,0
2,0.81,1,0.90,1
0,1.07,0,1.97,0
2,3.23,2,0.93,0
1,2.00,1,0.79,1
1,1.32,3,1.83,0
2,1.09,1,0.85,1
2,1.70,0,1.74,0
1,1.91,3,0.71,1
4,4.12,2,0.47,0
1,1.17,2,0.61,1
2,0.57,0,0.40,1
1,1.21,3,1.39,0
2,2.84,0,0.87,1
2,1.28,2,0.79,0
0,0.09,1,2.35,1
2,1.76,0,0.47,0
1,1.73,3,2.87,1

