GH,XGH,GA,XGA,Side
2,2.60,0,1.51,0
0,1.16,0,1.55,1
0,0.20,0,1.06,0
2,0.77,3,1.41,1
4,2.67,1,0.83,0
0,0.10,5,3.08,1
1,1.57,2,0.11,1
1,2.65,0,1.14,0
4,1.76,2,0.95,1
4,2.30,1,0.64,0
0,0.92,1,2.18,1
2,1.94,1,0.77,1
1,2.48,0,0.88,0
2,1.09,1,0.99,1
3,1.57,1,1.93,0
1,1.56,0,0.50,1
3,1.65,2,0.49,0
1,1.27,5,2.73,1
0,2.43,0,1.06,0
0,1.52,1,0.49,0
0,1.08,3,1.38,1
0,0.12,0,0.39,1
3,2.52,0,0.26,0
2,2.69,1,0.60,0
2,2.53,0,0.35,1
1,1.71,2,0.98,0
1,1.90,5,2.76,1
0,0.22,3,1.14,1
2,3.21,0,0.70,0
2,3.49,0,0.30,1
1,0.45,2,2.08,1
2,3.54,0,0.14,0
2,2.84,0,0.87,0
0,0.59,2,0.82,0
0,1.12,2,2.42,1
1,0.52,0,1.11,0
2,1.50,3,1.81,1
0,1.90,2,1.71,0

