GH,XGH,GA,XGA,Side
0,0.40,3,2.31,0
3,1.72,2,2.46,1
1,0.21,2,1.50,0
2,1.16,0,0.95,1
4,2.67,1,0.83,1
0,1.02,0,1.88,0
1,1.78,1,1.74,1
0,1.49,3,3.55,0
2,2.21,2,1.11,1
0,0.27,4,3.02,0
3,1.89,1,0.45,1
0,1.16,0,0.20,1
3,3.35,1,0.96,0
2,2.17,0,0.29,1
2,0.68,1,1.11,0
2,0.53,0,0.74,1
1,0.26,2,1.61,0
0,2.40,1,0.46,1
1,1.24,2,2.20,0
0,0.20,1,0.74,0
0,0.85,0,0.16,1
2,1.32,1,0.40,1
2,2.09,0,0.76,0
4,2.15,0,0.72,0
5,2.94,0,0.26,1
6,4.04,0,0.90,0
2,0.63,0,0.72,1
1,0.90,2,1.54,0
1,1.05,1,0.61,1
2,2.24,0,1.24,0
1,0.45,2,2.08,0
3,3.12,0,0.44,1
2,2.23,0,0.47,1
2,1.31,0,0.87,0
2,1.28,2,0.79,1
1,1.12,1,1.63,0
3,2.96,0,1.27,1
0,0.35,0,1.27,0

