GH,XGH,GA,XGA,Side
0,0.64,2,1.08,1
3,3.27,1,1.44,0
4,1.92,2,1.57,1
2,2.68,2,1.52,0
3,4.92,0,0.34,0
1,1.77,1,1.76,1
3,2.32,0,0.54,0
1,1.32,5,1.14,1
4,1.76,2,0.95,0
0,0.38,3,2.11,1
1,0.51,0,0.35,0
2,2.22,0,0.57,0
3,1.39,2,1.67,1
2,2.17,0,0.29,0
1,1.48,1,1.22,1
4,3.15,1,1.23,0
0,1.03,2,0.75,1
0,0.29,0,0.25,0
1,1.28,1,1.36,1
1,1.72,0,0.28,1
4,4.43,1,1.71,0
2,0.81,1,0.90,0
1,0.94,2,1.93,1
4,3.46,2,2.37,1
2,2.20,0,0.56,0
0,2.19,3,2.13,1
3,2.73,1,1.24,0
2,1.16,0,0.80,0
1,0.90,2,1.54,1
3,2.13,1,0.15,0
1,0.92,2,2.73,1
0,0.66,2,2.32,1
4,1.59,1,1.91,0
2,1.66,0,1.29,1
0,2.84,1,2.62,0
1,0.52,0,1.11,1
1,2.09,0,0.51,0
0,0.57,4,1.96,1

