GH,XGH,GA,XGA,Side
1,0.97,2,2.58,1
0,1.16,0,1.55,0
1,0.21,2,1.50,1
2,2.47,1,0.55,0
1,0.41,2,0.90,1
0,0.93,0,0.23,0
0,0.40,2,1.34,1
3,2.41,2,1.56,0
0,1.71,1,0.68,1
0,1.19,0,0.30,0
1,0.69,0,2.55,1
2,2.58,1,1.92,1
1,1.49,2,1.68,0
0,1.13,3,2.63,1
1,2.11,1,1.52,0
1,0.46,2,1.58,1
0,0.67,1,0.93,0
0,0.29,0,0.25,1
4,3.25,0,0.46,0
1,1.06,1,0.66,0
0,0.69,2,2.68,1
2,1.32,1,0.40,0
3,2.52,0,0.26,1
2,0.99,1,1.34,1
1,3.10,0,0.40,0
1,2.31,1,0.44,0
2,3.03,0,0.13,1
2,1.70,0,1.74,1
2,1.89,0,1.19,0
3,2.38,2,1.15,1
2,1.62,2,1.03,0
2,1.04,0,0.04,0
0,0.94,1,0.91,1
0,0.88,1,0.95,0
3,1.23,1,1.27,1
1,1.20,1,0.44,0
2,1.30,3,1.48,1
0,0.57,4,1.96,0

