GH,XGH,GA,XGA,Side
2,0.89,2,0.72,1
2,0.22,0,1.09,0
1,1.26,1,1.84,1
0,0.89,1,1.22,0
1,3.39,0,0.21,1
1,0.62,1,1.12,0
2,1.43,0,0.68,1
0,1.04,1,0.76,0
0,0.47,2,1.07,1
1,1.01,0,1.38,0
2,2.41,3,1.63,1
1,0.97,1,1.87,0
0,0.70,2,0.63,1
2,1.09,1,0.99,0
2,0.68,1,1.11,1
1,0.46,2,1.58,0
2,2.02,0,0.53,1
0,0.76,2,2.16,1
1,1.28,1,1.36,0
1,0.28,3,1.21,0
0,0.66,2,1.95,1
3,3.12,0,0.10,0
4,2.22,3,1.34,1
3,2.04,0,0.13,1
1,1.36,3,1.86,0
1,2.31,1,0.44,1
1,2.13,1,1.20,0
1,1.46,0,0.57,0
2,3.21,0,0.70,1
1,1.05,1,0.61,0
2,0.57,0,0.40,0
2,1.65,1,2.04,1
3,3.81,1,0.64,0
0,2.60,0,0.12,1
3,0.98,1,0.94,1
1,0.90,2,2.44,0
1,2.09,0,0.51,1
2,1.70,0,0.88,0

