Liga: Bundesliga; powers: p345.m; epowers: p13.m; lnpowers: p1.m; SUM: 5.12
Liga: LaLiga    ; powers: p345.m; epowers: p13.m; lnpowers: p1.m; SUM: -7.23
Liga: Ligue_1   ; powers: p345.m; epowers: p13.m; lnpowers: p1.m; SUM: -12.09
Liga: Serie_A   ; powers: p345.m; epowers: p13.m; lnpowers: p1.m; SUM: 5.94
Liga: Bundesliga; powers: p1345.m; epowers: p12.m; lnpowers: p0.m; SUM: 14.99
Liga: LaLiga    ; powers: p1345.m; epowers: p12.m; lnpowers: p0.m; SUM: -7.2
Liga: Ligue_1   ; powers: p1345.m; epowers: p12.m; lnpowers: p0.m; SUM: -13.59
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p0.m; SUM: 16.04
Liga: Bundesliga; powers: p245.m; epowers: p12.m; lnpowers: p23.m; SUM: -10.23
Liga: LaLiga    ; powers: p245.m; epowers: p12.m; lnpowers: p23.m; SUM: -7.33
Liga: Ligue_1   ; powers: p245.m; epowers: p12.m; lnpowers: p23.m; SUM: -8.16
Liga: Serie_A   ; powers: p245.m; epowers: p12.m; lnpowers: p23.m; SUM: 13.62
Liga: Bundesliga; powers: p1345.m; epowers: p13.m; lnpowers: p0.m; SUM: 16.73
Liga: LaLiga    ; powers: p1345.m; epowers: p13.m; lnpowers: p0.m; SUM: -5.04
Liga: Ligue_1   ; powers: p1345.m; epowers: p13.m; lnpowers: p0.m; SUM: -7.22
Liga: Serie_A   ; powers: p1345.m; epowers: p13.m; lnpowers: p0.m; SUM: 20.16
Liga: Bundesliga; powers: p235.m; epowers: p123.m; lnpowers: p23.m; SUM: -5.81
Liga: LaLiga    ; powers: p235.m; epowers: p123.m; lnpowers: p23.m; SUM: -11.68
Liga: Ligue_1   ; powers: p235.m; epowers: p123.m; lnpowers: p23.m; SUM: 13.24
Liga: Serie_A   ; powers: p235.m; epowers: p123.m; lnpowers: p23.m; SUM: 12.6
