Liga: Serie_A   ; powers: p1345.m; epowers: p13.m; lnpowers: p0.m; 34.3056
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p0.m; 33.6075
Liga: Serie_A   ; powers: p345.m; epowers: p123.m; lnpowers: p1.m; 33.4281
Liga: Serie_A   ; powers: p1245.m; epowers: p2.m; lnpowers: p123.m; 33.2144
Liga: Serie_A   ; powers: p1345.m; epowers: p1.m; lnpowers: p123.m; 33.0694
Liga: Serie_A   ; powers: p12345.m; epowers: p3.m; lnpowers: p12.m; 32.8875
Liga: Serie_A   ; powers: p1234.m; epowers: p2.m; lnpowers: p123.m; 32.6231
Liga: Serie_A   ; powers: p1345.m; epowers: p2.m; lnpowers: p123.m; 31.9275
Liga: Serie_A   ; powers: p1245.m; epowers: p3.m; lnpowers: p123.m; 31.7394
Liga: Serie_A   ; powers: p123.m; epowers: p23.m; lnpowers: p123.m; 31.5181
Liga: Serie_A   ; powers: p1235.m; epowers: p2.m; lnpowers: p123.m; 31.365
Liga: Serie_A   ; powers: p235.m; epowers: p123.m; lnpowers: p23.m; 31.1506
Liga: Serie_A   ; powers: p2345.m; epowers: p123.m; lnpowers: p3.m; 30.7656
Liga: Serie_A   ; powers: p134.m; epowers: p12.m; lnpowers: p123.m; 30.6531
Liga: Serie_A   ; powers: p345.m; epowers: p13.m; lnpowers: p1.m; 30.5663
Liga: Serie_A   ; powers: p134.m; epowers: p13.m; lnpowers: p123.m; 29.9138
Liga: Serie_A   ; powers: p235.m; epowers: p12.m; lnpowers: p23.m; 29.4919
Liga: Serie_A   ; powers: p245.m; epowers: p12.m; lnpowers: p23.m; 29.2613
Liga: Serie_A   ; powers: p135.m; epowers: p13.m; lnpowers: p123.m; 28.3625
Liga: Serie_A   ; powers: p1234.m; epowers: p13.m; lnpowers: p12.m; 28.3125
Liga: Serie_A   ; powers: p1345.m; epowers: p123.m; lnpowers: p123.m; 28.1625
Liga: Serie_A   ; powers: p234.m; epowers: p12.m; lnpowers: p123.m; 28.0131
Liga: Serie_A   ; powers: p4.m; epowers: p123.m; lnpowers: p13.m; 27.8438
Liga: Serie_A   ; powers: p2345.m; epowers: p123.m; lnpowers: p123.m; 27.79
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; 27.4944
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; 27.4944
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; 27.4944
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; 27.4944
Liga: Serie_A   ; powers: p2345.m; epowers: p12.m; lnpowers: p23.m; 26.8856
Liga: Serie_A   ; powers: p134.m; epowers: p123.m; lnpowers: p123.m; 26.8881
Liga: Serie_A   ; powers: p2345.m; epowers: p12.m; lnpowers: p23.m; 26.8856
Liga: Serie_A   ; powers: p134.m; epowers: p123.m; lnpowers: p123.m; 26.8881
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p12.m; 26.5144
Liga: Serie_A   ; powers: p235.m; epowers: p12.m; lnpowers: p123.m; 26.1744
Liga: Serie_A   ; powers: p2345.m; epowers: p12.m; lnpowers: p1.m; 25.9781
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p1.m; 25.7669
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p3.m; 25.7081
Liga: Serie_A   ; powers: p1345.m; epowers: p123.m; lnpowers: p2.m; 25.6513
Liga: Serie_A   ; powers: p1345.m; epowers: p123.m; lnpowers: p12.m; 25.4712
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p1.m; 25.1538
