Liga: Serie_A   ; powers: p345.m; epowers: p13.m; lnpowers: p1.m; |-2.065
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p0.m; |2.56
Liga: Serie_A   ; powers: p245.m; epowers: p12.m; lnpowers: p23.m; |-3.025
Liga: Serie_A   ; powers: p1345.m; epowers: p13.m; lnpowers: p0.m; |6.1575
Liga: Serie_A   ; powers: p235.m; epowers: p123.m; lnpowers: p23.m; |2.0875
Liga: Serie_A   ; powers: p1345.m; epowers: p123.m; lnpowers: p123.m; |-1.58
Liga: Serie_A   ; powers: p1345.m; epowers: p1.m; lnpowers: p123.m; |5.4625
Liga: Serie_A   ; powers: p1345.m; epowers: p123.m; lnpowers: p2.m; |-4.345
Liga: Serie_A   ; powers: p2345.m; epowers: p123.m; lnpowers: p3.m; |2.5375
Liga: Serie_A   ; powers: p235.m; epowers: p12.m; lnpowers: p23.m; |1.1125
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p1.m; |-4.085
Liga: Serie_A   ; powers: p134.m; epowers: p13.m; lnpowers: p123.m; |2.505
Liga: Serie_A   ; powers: p135.m; epowers: p13.m; lnpowers: p123.m; |0.59
Liga: Serie_A   ; powers: p345.m; epowers: p123.m; lnpowers: p1.m; |7.5275
Liga: Serie_A   ; powers: p2345.m; epowers: p123.m; lnpowers: p123.m; |0.02
Liga: Serie_A   ; powers: p4.m; epowers: p123.m; lnpowers: p13.m; |0.175
Liga: Serie_A   ; powers: p1345.m; epowers: p123.m; lnpowers: p12.m; |-2.935
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; |-0.1575
Liga: Serie_A   ; powers: p1245.m; epowers: p2.m; lnpowers: p123.m; |4.6525
Liga: Serie_A   ; powers: p123.m; epowers: p23.m; lnpowers: p123.m; |2.9775
Liga: Serie_A   ; powers: p1234.m; epowers: p2.m; lnpowers: p123.m; |5.1275
Liga: Serie_A   ; powers: p12345.m; epowers: p3.m; lnpowers: p12.m; |5.86
Liga: Serie_A   ; powers: p1245.m; epowers: p3.m; lnpowers: p123.m; |4.9825
Liga: Serie_A   ; powers: p1235.m; epowers: p2.m; lnpowers: p123.m; |4.52
Liga: Serie_A   ; powers: p1345.m; epowers: p2.m; lnpowers: p123.m; |5.6
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; |-0.1575
Liga: Serie_A   ; powers: p1234.m; epowers: p13.m; lnpowers: p12.m; |1.21
Liga: Serie_A   ; powers: p134.m; epowers: p123.m; lnpowers: p123.m; |-0.6425
Liga: Serie_A   ; powers: p2345.m; epowers: p12.m; lnpowers: p1.m; |-1.5425
Liga: Serie_A   ; powers: p2345.m; epowers: p12.m; lnpowers: p23.m; |-0.3225
Liga: Serie_A   ; powers: p134.m; epowers: p12.m; lnpowers: p123.m; |5.2675
Liga: Serie_A   ; powers: p234.m; epowers: p12.m; lnpowers: p123.m; |2.5275
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p3.m; |-0.5225
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p1.m; |0.0125
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p12.m; |1.0325
Liga: Serie_A   ; powers: p235.m; epowers: p12.m; lnpowers: p123.m; |0.6325
