Liga: Serie_A   ; powers: p345.m; epowers: p13.m; lnpowers: p1.m; |32.115
Liga: Serie_A   ; powers: p1345.m; epowers: p12.m; lnpowers: p0.m; |31.6875
Liga: Serie_A   ; powers: p245.m; epowers: p12.m; lnpowers: p23.m; |31.53
Liga: Serie_A   ; powers: p1345.m; epowers: p13.m; lnpowers: p0.m; |29.6875
Liga: Serie_A   ; powers: p235.m; epowers: p123.m; lnpowers: p23.m; |29.585
Liga: Serie_A   ; powers: p1345.m; epowers: p123.m; lnpowers: p123.m; |29.3475
Liga: Serie_A   ; powers: p1345.m; epowers: p1.m; lnpowers: p123.m; |28.9725
Liga: Serie_A   ; powers: p1345.m; epowers: p123.m; lnpowers: p2.m; |28.91
Liga: Serie_A   ; powers: p2345.m; epowers: p123.m; lnpowers: p3.m; |28.8625
Liga: Serie_A   ; powers: p235.m; epowers: p12.m; lnpowers: p23.m; |28.6575
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p1.m; |28.2175
Liga: Serie_A   ; powers: p134.m; epowers: p13.m; lnpowers: p123.m; |28.035
Liga: Serie_A   ; powers: p135.m; epowers: p13.m; lnpowers: p123.m; |27.92
Liga: Serie_A   ; powers: p345.m; epowers: p123.m; lnpowers: p1.m; |27.7825
Liga: Serie_A   ; powers: p2345.m; epowers: p123.m; lnpowers: p123.m; |27.775
Liga: Serie_A   ; powers: p4.m; epowers: p123.m; lnpowers: p13.m; |27.7125
Liga: Serie_A   ; powers: p1345.m; epowers: p123.m; lnpowers: p12.m; |27.6725
Liga: Serie_A   ; powers: p12345.m; epowers: p123.m; lnpowers: p23.m; |27.6125
