Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.25; DiffWin: 0.5; BetsNumber: 179; BetsWin:140; BetsDraw: 79; CorrectResults: 72; CorrectDraws: 31; CorrectWins: 41; SUM: 22.13
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.275; DiffWin: 0.5; BetsNumber: 188; BetsWin:140; BetsDraw: 88; CorrectResults: 74; CorrectDraws: 33; CorrectWins: 41; SUM: 20.86
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.3; DiffWin: 0.5; BetsNumber: 195; BetsWin:140; BetsDraw: 95; CorrectResults: 76; CorrectDraws: 35; CorrectWins: 41; SUM: 20.83
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.325; DiffWin: 0.5; BetsNumber: 208; BetsWin:140; BetsDraw: 108; CorrectResults: 78; CorrectDraws: 37; CorrectWins: 41; SUM: 14.24
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.5; BetsNumber: 216; BetsWin:140; BetsDraw: 116; CorrectResults: 79; CorrectDraws: 38; CorrectWins: 41; SUM: 9.48
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.25; DiffWin: 0.55; BetsNumber: 167; BetsWin:123; BetsDraw: 79; CorrectResults: 66; CorrectDraws: 31; CorrectWins: 35; SUM: 12.98
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.275; DiffWin: 0.55; BetsNumber: 176; BetsWin:123; BetsDraw: 88; CorrectResults: 68; CorrectDraws: 33; CorrectWins: 35; SUM: 11.71
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.3; DiffWin: 0.55; BetsNumber: 183; BetsWin:123; BetsDraw: 95; CorrectResults: 70; CorrectDraws: 35; CorrectWins: 35; SUM: 11.68
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.325; DiffWin: 0.55; BetsNumber: 196; BetsWin:123; BetsDraw: 108; CorrectResults: 72; CorrectDraws: 37; CorrectWins: 35; SUM: 5.09
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.55; BetsNumber: 204; BetsWin:123; BetsDraw: 116; CorrectResults: 73; CorrectDraws: 38; CorrectWins: 35; SUM: 0.33
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.25; DiffWin: 0.6; BetsNumber: 154; BetsWin:107; BetsDraw: 79; CorrectResults: 63; CorrectDraws: 31; CorrectWins: 32; SUM: 20.21
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.275; DiffWin: 0.6; BetsNumber: 163; BetsWin:107; BetsDraw: 88; CorrectResults: 65; CorrectDraws: 33; CorrectWins: 32; SUM: 18.94
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.3; DiffWin: 0.6; BetsNumber: 170; BetsWin:107; BetsDraw: 95; CorrectResults: 67; CorrectDraws: 35; CorrectWins: 32; SUM: 18.91
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.325; DiffWin: 0.6; BetsNumber: 183; BetsWin:107; BetsDraw: 108; CorrectResults: 69; CorrectDraws: 37; CorrectWins: 32; SUM: 12.32
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.6; BetsNumber: 191; BetsWin:107; BetsDraw: 116; CorrectResults: 70; CorrectDraws: 38; CorrectWins: 32; SUM: 7.56
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.25; DiffWin: 0.65; BetsNumber: 138; BetsWin:84; BetsDraw: 79; CorrectResults: 56; CorrectDraws: 31; CorrectWins: 25; SUM: 21.27
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.275; DiffWin: 0.65; BetsNumber: 147; BetsWin:84; BetsDraw: 88; CorrectResults: 58; CorrectDraws: 33; CorrectWins: 25; SUM: 20
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.3; DiffWin: 0.65; BetsNumber: 154; BetsWin:84; BetsDraw: 95; CorrectResults: 60; CorrectDraws: 35; CorrectWins: 25; SUM: 19.97
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.325; DiffWin: 0.65; BetsNumber: 167; BetsWin:84; BetsDraw: 108; CorrectResults: 62; CorrectDraws: 37; CorrectWins: 25; SUM: 13.38
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.65; BetsNumber: 175; BetsWin:84; BetsDraw: 116; CorrectResults: 63; CorrectDraws: 38; CorrectWins: 25; SUM: 8.62
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.25; DiffWin: 0.7; BetsNumber: 126; BetsWin:67; BetsDraw: 79; CorrectResults: 51; CorrectDraws: 31; CorrectWins: 20; SUM: 21.95
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.275; DiffWin: 0.7; BetsNumber: 135; BetsWin:67; BetsDraw: 88; CorrectResults: 53; CorrectDraws: 33; CorrectWins: 20; SUM: 20.68
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.3; DiffWin: 0.7; BetsNumber: 142; BetsWin:67; BetsDraw: 95; CorrectResults: 55; CorrectDraws: 35; CorrectWins: 20; SUM: 20.65
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.325; DiffWin: 0.7; BetsNumber: 155; BetsWin:67; BetsDraw: 108; CorrectResults: 57; CorrectDraws: 37; CorrectWins: 20; SUM: 14.06
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.7; BetsNumber: 163; BetsWin:67; BetsDraw: 116; CorrectResults: 58; CorrectDraws: 38; CorrectWins: 20; SUM: 9.3
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.25; DiffWin: 0.75; BetsNumber: 117; BetsWin:57; BetsDraw: 79; CorrectResults: 50; CorrectDraws: 31; CorrectWins: 19; SUM: 28.54
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.275; DiffWin: 0.75; BetsNumber: 126; BetsWin:57; BetsDraw: 88; CorrectResults: 52; CorrectDraws: 33; CorrectWins: 19; SUM: 27.27
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.3; DiffWin: 0.75; BetsNumber: 133; BetsWin:57; BetsDraw: 95; CorrectResults: 54; CorrectDraws: 35; CorrectWins: 19; SUM: 27.24
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.325; DiffWin: 0.75; BetsNumber: 146; BetsWin:57; BetsDraw: 108; CorrectResults: 56; CorrectDraws: 37; CorrectWins: 19; SUM: 20.65
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.75; BetsNumber: 154; BetsWin:57; BetsDraw: 116; CorrectResults: 57; CorrectDraws: 38; CorrectWins: 19; SUM: 15.89
Liga: LaLiga    ; MinCof: 1.65; DiffDraw: 0.25; DiffWin: 0.8; BetsNumber: 111; BetsWin:47; BetsDraw: 79; CorrectResults: 46; CorrectDraws: 31; CorrectWins: 15; SUM: 23.1
