Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.5; BetsNumber: 169; BetsWin:57; BetsDraw: 126; CorrectResults: 50; CorrectDraws: 33; CorrectWins: 17; SUM: 11.26
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.375; DiffWin: 0.5; BetsNumber: 173; BetsWin:57; BetsDraw: 130; CorrectResults: 50; CorrectDraws: 33; CorrectWins: 17; SUM: 7.26
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.4; DiffWin: 0.5; BetsNumber: 176; BetsWin:57; BetsDraw: 133; CorrectResults: 51; CorrectDraws: 34; CorrectWins: 17; SUM: 7.84
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.425; DiffWin: 0.5; BetsNumber: 182; BetsWin:57; BetsDraw: 139; CorrectResults: 52; CorrectDraws: 35; CorrectWins: 17; SUM: 5.55
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.5; BetsNumber: 187; BetsWin:57; BetsDraw: 144; CorrectResults: 52; CorrectDraws: 35; CorrectWins: 17; SUM: 0.55
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.55; BetsNumber: 162; BetsWin:48; BetsDraw: 126; CorrectResults: 46; CorrectDraws: 33; CorrectWins: 13; SUM: 9.24
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.375; DiffWin: 0.55; BetsNumber: 166; BetsWin:48; BetsDraw: 130; CorrectResults: 46; CorrectDraws: 33; CorrectWins: 13; SUM: 5.24
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.4; DiffWin: 0.55; BetsNumber: 169; BetsWin:48; BetsDraw: 133; CorrectResults: 47; CorrectDraws: 34; CorrectWins: 13; SUM: 5.82
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.425; DiffWin: 0.55; BetsNumber: 175; BetsWin:48; BetsDraw: 139; CorrectResults: 48; CorrectDraws: 35; CorrectWins: 13; SUM: 3.53
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.55; BetsNumber: 180; BetsWin:48; BetsDraw: 144; CorrectResults: 48; CorrectDraws: 35; CorrectWins: 13; SUM: -1.47
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.6; BetsNumber: 156; BetsWin:39; BetsDraw: 126; CorrectResults: 43; CorrectDraws: 33; CorrectWins: 10; SUM: 8.02
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.375; DiffWin: 0.6; BetsNumber: 160; BetsWin:39; BetsDraw: 130; CorrectResults: 43; CorrectDraws: 33; CorrectWins: 10; SUM: 4.02
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.4; DiffWin: 0.6; BetsNumber: 163; BetsWin:39; BetsDraw: 133; CorrectResults: 44; CorrectDraws: 34; CorrectWins: 10; SUM: 4.6
Liga: Bundesliga; MinCof: 1.65; DiffDraw: 0.425; DiffWin: 0.6; BetsNumber: 169; BetsWin:39; BetsDraw: 139; CorrectResults: 45; CorrectDraws: 35; CorrectWins: 10; SUM: 2.31
