Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.5; BetsNumber: 226; BetsWin:125; BetsDraw: 139; CorrectResults: 96; CorrectDraws: 54; CorrectWins: 42; SUM: 47.18
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.375; DiffWin: 0.5; BetsNumber: 234; BetsWin:125; BetsDraw: 147; CorrectResults: 99; CorrectDraws: 57; CorrectWins: 42; SUM: 48.84
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.4; DiffWin: 0.5; BetsNumber: 243; BetsWin:125; BetsDraw: 156; CorrectResults: 100; CorrectDraws: 58; CorrectWins: 42; SUM: 44.3
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.425; DiffWin: 0.5; BetsNumber: 251; BetsWin:125; BetsDraw: 164; CorrectResults: 102; CorrectDraws: 60; CorrectWins: 42; SUM: 47.62
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.5; BetsNumber: 256; BetsWin:125; BetsDraw: 169; CorrectResults: 103; CorrectDraws: 61; CorrectWins: 42; SUM: 45.93
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.55; BetsNumber: 217; BetsWin:113; BetsDraw: 139; CorrectResults: 93; CorrectDraws: 54; CorrectWins: 39; SUM: 48.78
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.375; DiffWin: 0.55; BetsNumber: 225; BetsWin:113; BetsDraw: 147; CorrectResults: 96; CorrectDraws: 57; CorrectWins: 39; SUM: 50.44
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.4; DiffWin: 0.55; BetsNumber: 234; BetsWin:113; BetsDraw: 156; CorrectResults: 97; CorrectDraws: 58; CorrectWins: 39; SUM: 45.9
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.425; DiffWin: 0.55; BetsNumber: 242; BetsWin:113; BetsDraw: 164; CorrectResults: 99; CorrectDraws: 60; CorrectWins: 39; SUM: 49.22
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.55; BetsNumber: 247; BetsWin:113; BetsDraw: 169; CorrectResults: 100; CorrectDraws: 61; CorrectWins: 39; SUM: 47.53
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.6; BetsNumber: 204; BetsWin:97; BetsDraw: 139; CorrectResults: 90; CorrectDraws: 54; CorrectWins: 36; SUM: 55.41
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.375; DiffWin: 0.6; BetsNumber: 212; BetsWin:97; BetsDraw: 147; CorrectResults: 93; CorrectDraws: 57; CorrectWins: 36; SUM: 57.07
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.4; DiffWin: 0.6; BetsNumber: 221; BetsWin:97; BetsDraw: 156; CorrectResults: 94; CorrectDraws: 58; CorrectWins: 36; SUM: 52.53
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.425; DiffWin: 0.6; BetsNumber: 229; BetsWin:97; BetsDraw: 164; CorrectResults: 96; CorrectDraws: 60; CorrectWins: 36; SUM: 55.85
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.6; BetsNumber: 234; BetsWin:97; BetsDraw: 169; CorrectResults: 97; CorrectDraws: 61; CorrectWins: 36; SUM: 54.16
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.65; BetsNumber: 196; BetsWin:86; BetsDraw: 139; CorrectResults: 84; CorrectDraws: 54; CorrectWins: 30; SUM: 48.77
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.375; DiffWin: 0.65; BetsNumber: 204; BetsWin:86; BetsDraw: 147; CorrectResults: 87; CorrectDraws: 57; CorrectWins: 30; SUM: 50.43
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.4; DiffWin: 0.65; BetsNumber: 213; BetsWin:86; BetsDraw: 156; CorrectResults: 88; CorrectDraws: 58; CorrectWins: 30; SUM: 45.89
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.425; DiffWin: 0.65; BetsNumber: 221; BetsWin:86; BetsDraw: 164; CorrectResults: 90; CorrectDraws: 60; CorrectWins: 30; SUM: 49.21
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.65; BetsNumber: 226; BetsWin:86; BetsDraw: 169; CorrectResults: 91; CorrectDraws: 61; CorrectWins: 30; SUM: 47.52
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.7; BetsNumber: 182; BetsWin:65; BetsDraw: 139; CorrectResults: 77; CorrectDraws: 54; CorrectWins: 23; SUM: 46.42
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.375; DiffWin: 0.7; BetsNumber: 190; BetsWin:65; BetsDraw: 147; CorrectResults: 80; CorrectDraws: 57; CorrectWins: 23; SUM: 48.08
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.4; DiffWin: 0.7; BetsNumber: 199; BetsWin:65; BetsDraw: 156; CorrectResults: 81; CorrectDraws: 58; CorrectWins: 23; SUM: 43.54
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.425; DiffWin: 0.7; BetsNumber: 207; BetsWin:65; BetsDraw: 164; CorrectResults: 83; CorrectDraws: 60; CorrectWins: 23; SUM: 46.86
