Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.5; BetsNumber: 245; BetsWin:77; BetsDraw: 189; CorrectResults: 84; CorrectDraws: 59; CorrectWins: 25; SUM: 14.87
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 0.5; BetsNumber: 253; BetsWin:77; BetsDraw: 197; CorrectResults: 87; CorrectDraws: 62; CorrectWins: 25; SUM: 16.27
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 0.5; BetsNumber: 256; BetsWin:77; BetsDraw: 200; CorrectResults: 89; CorrectDraws: 64; CorrectWins: 25; SUM: 20.69
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 0.5; BetsNumber: 264; BetsWin:77; BetsDraw: 208; CorrectResults: 90; CorrectDraws: 65; CorrectWins: 25; SUM: 17.61
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 0.5; BetsNumber: 273; BetsWin:77; BetsDraw: 217; CorrectResults: 93; CorrectDraws: 68; CorrectWins: 25; SUM: 19.44
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.55; BetsNumber: 235; BetsWin:63; BetsDraw: 189; CorrectResults: 79; CorrectDraws: 59; CorrectWins: 20; SUM: 14.11
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.475; DiffWin: 0.55; BetsNumber: 243; BetsWin:63; BetsDraw: 197; CorrectResults: 82; CorrectDraws: 62; CorrectWins: 20; SUM: 15.51
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.5; DiffWin: 0.55; BetsNumber: 246; BetsWin:63; BetsDraw: 200; CorrectResults: 84; CorrectDraws: 64; CorrectWins: 20; SUM: 19.93
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.525; DiffWin: 0.55; BetsNumber: 254; BetsWin:63; BetsDraw: 208; CorrectResults: 85; CorrectDraws: 65; CorrectWins: 20; SUM: 16.85
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.55; DiffWin: 0.55; BetsNumber: 263; BetsWin:63; BetsDraw: 217; CorrectResults: 88; CorrectDraws: 68; CorrectWins: 20; SUM: 18.68
Liga: Serie_A   ; MinCof: 1.65; DiffDraw: 0.45; DiffWin: 0.6; BetsNumber: 225; BetsWin:51; BetsDraw: 189; CorrectResults: 76; CorrectDraws: 59; CorrectWins: 17; SUM: 18.52
