Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.6; BetsNumber: 193; BetsWin:81; BetsDraw: 139; CorrectResults: 85; CorrectDraws: 54; CorrectWins: 31; |24.575
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.75; BetsNumber: 169; BetsWin:45; BetsDraw: 139; CorrectResults: 70; CorrectDraws: 54; CorrectWins: 16; |24.2975
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.9; BetsNumber: 164; BetsWin:37; BetsDraw: 139; CorrectResults: 67; CorrectDraws: 54; CorrectWins: 13; |24.1
Liga: Ligue_1   ; MinCof: 1.75; DiffDraw: 0.35; DiffWin: 0.8; BetsNumber: 171; BetsWin:48; BetsDraw: 139; CorrectResults: 71; CorrectDraws: 54; CorrectWins: 17; |23.94
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.9; BetsNumber: 159; BetsWin:29; BetsDraw: 139; CorrectResults: 64; CorrectDraws: 54; CorrectWins: 10; |23.9225
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.8; BetsNumber: 173; BetsWin:52; BetsDraw: 139; CorrectResults: 73; CorrectDraws: 54; CorrectWins: 19; |23.92
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.9; BetsNumber: 159; BetsWin:29; BetsDraw: 139; CorrectResults: 64; CorrectDraws: 54; CorrectWins: 10; |23.9225
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.8; BetsNumber: 173; BetsWin:52; BetsDraw: 139; CorrectResults: 73; CorrectDraws: 54; CorrectWins: 19; |23.92
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.8; BetsNumber: 168; BetsWin:44; BetsDraw: 139; CorrectResults: 70; CorrectDraws: 54; CorrectWins: 16; |23.8575
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.85; BetsNumber: 168; BetsWin:44; BetsDraw: 139; CorrectResults: 70; CorrectDraws: 54; CorrectWins: 16; |23.7875
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.85; BetsNumber: 163; BetsWin:36; BetsDraw: 139; CorrectResults: 67; CorrectDraws: 54; CorrectWins: 13; |23.665
Liga: Ligue_1   ; MinCof: 1.7; DiffDraw: 0.35; DiffWin: 0.9; BetsNumber: 163; BetsWin:35; BetsDraw: 139; CorrectResults: 66; CorrectDraws: 54; CorrectWins: 12; |23.67
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.85; BetsNumber: 163; BetsWin:36; BetsDraw: 139; CorrectResults: 67; CorrectDraws: 54; CorrectWins: 13; |23.665
Liga: Ligue_1   ; MinCof: 1.7; DiffDraw: 0.35; DiffWin: 0.9; BetsNumber: 163; BetsWin:35; BetsDraw: 139; CorrectResults: 66; CorrectDraws: 54; CorrectWins: 12; |23.67
Liga: Ligue_1   ; MinCof: 1.75; DiffDraw: 0.35; DiffWin: 0.9; BetsNumber: 162; BetsWin:33; BetsDraw: 139; CorrectResults: 65; CorrectDraws: 54; CorrectWins: 11; |23.62
Liga: Ligue_1   ; MinCof: 1.75; DiffDraw: 0.35; DiffWin: 0.75; BetsNumber: 174; BetsWin:51; BetsDraw: 139; CorrectResults: 71; CorrectDraws: 54; CorrectWins: 17; |23.63
Liga: Ligue_1   ; MinCof: 1.75; DiffDraw: 0.35; DiffWin: 0.9; BetsNumber: 162; BetsWin:33; BetsDraw: 139; CorrectResults: 65; CorrectDraws: 54; CorrectWins: 11; |23.62
Liga: Ligue_1   ; MinCof: 1.75; DiffDraw: 0.35; DiffWin: 0.75; BetsNumber: 174; BetsWin:51; BetsDraw: 139; CorrectResults: 71; CorrectDraws: 54; CorrectWins: 17; |23.63
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.75; BetsNumber: 176; BetsWin:55; BetsDraw: 139; CorrectResults: 73; CorrectDraws: 54; CorrectWins: 19; |23.61
Liga: Ligue_1   ; MinCof: 1.75; DiffDraw: 0.35; DiffWin: 0.85; BetsNumber: 166; BetsWin:40; BetsDraw: 139; CorrectResults: 68; CorrectDraws: 54; CorrectWins: 14; |23.5575
Liga: Ligue_1   ; MinCof: 1.7; DiffDraw: 0.35; DiffWin: 0.8; BetsNumber: 172; BetsWin:50; BetsDraw: 139; CorrectResults: 72; CorrectDraws: 54; CorrectWins: 18; |23.49
Liga: Ligue_1   ; MinCof: 1.75; DiffDraw: 0.35; DiffWin: 0.6; BetsNumber: 199; BetsWin:88; BetsDraw: 139; CorrectResults: 86; CorrectDraws: 54; CorrectWins: 32; |23.4075
Liga: Ligue_1   ; MinCof: 1.7; DiffDraw: 0.35; DiffWin: 0.85; BetsNumber: 167; BetsWin:42; BetsDraw: 139; CorrectResults: 69; CorrectDraws: 54; CorrectWins: 15; |23.3575
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.65; BetsNumber: 186; BetsWin:72; BetsDraw: 139; CorrectResults: 80; CorrectDraws: 54; CorrectWins: 26; |23.1975
Liga: Ligue_1   ; MinCof: 1.7; DiffDraw: 0.35; DiffWin: 0.6; BetsNumber: 202; BetsWin:94; BetsDraw: 139; CorrectResults: 89; CorrectDraws: 54; CorrectWins: 35; |23.19
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.65; BetsNumber: 186; BetsWin:72; BetsDraw: 139; CorrectResults: 80; CorrectDraws: 54; CorrectWins: 26; |23.1975
Liga: Ligue_1   ; MinCof: 1.7; DiffDraw: 0.35; DiffWin: 0.75; BetsNumber: 175; BetsWin:53; BetsDraw: 139; CorrectResults: 72; CorrectDraws: 54; CorrectWins: 18; |23.18
Liga: Ligue_1   ; MinCof: 1.7; DiffDraw: 0.35; DiffWin: 0.6; BetsNumber: 202; BetsWin:94; BetsDraw: 139; CorrectResults: 89; CorrectDraws: 54; CorrectWins: 35; |23.19
Liga: Ligue_1   ; MinCof: 1.7; DiffDraw: 0.35; DiffWin: 0.75; BetsNumber: 175; BetsWin:53; BetsDraw: 139; CorrectResults: 72; CorrectDraws: 54; CorrectWins: 18; |23.18
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.5; BetsNumber: 212; BetsWin:105; BetsDraw: 139; CorrectResults: 90; CorrectDraws: 54; CorrectWins: 36; |22.705
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.6; BetsNumber: 204; BetsWin:97; BetsDraw: 139; CorrectResults: 90; CorrectDraws: 54; CorrectWins: 36; |22.7025
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.5; BetsNumber: 212; BetsWin:105; BetsDraw: 139; CorrectResults: 90; CorrectDraws: 54; CorrectWins: 36; |22.705
Liga: Ligue_1   ; MinCof: 1.65; DiffDraw: 0.35; DiffWin: 0.6; BetsNumber: 204; BetsWin:97; BetsDraw: 139; CorrectResults: 90; CorrectDraws: 54; CorrectWins: 36; |22.7025
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.35; DiffWin: 0.7; BetsNumber: 174; BetsWin:53; BetsDraw: 139; CorrectResults: 73; CorrectDraws: 54; CorrectWins: 19; |22.44
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.425; DiffWin: 0.6; BetsNumber: 218; BetsWin:81; BetsDraw: 164; CorrectResults: 91; CorrectDraws: 60; CorrectWins: 31; |22.345
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.425; DiffWin: 0.75; BetsNumber: 194; BetsWin:45; BetsDraw: 164; CorrectResults: 76; CorrectDraws: 60; CorrectWins: 16; |22.0675
Liga: Ligue_1   ; MinCof: 1.75; DiffDraw: 0.35; DiffWin: 0.5; BetsNumber: 220; BetsWin:115; BetsDraw: 139; CorrectResults: 92; CorrectDraws: 54; CorrectWins: 38; |22.06
Liga: Ligue_1   ; MinCof: 1.8; DiffDraw: 0.425; DiffWin: 0.75; BetsNumber: 194; BetsWin:45; BetsDraw: 164; CorrectResults: 76; CorrectDraws: 60; CorrectWins: 16; |22.0675
Liga: Ligue_1   ; MinCof: 1.75; DiffDraw: 0.35; DiffWin: 0.5; BetsNumber: 220; BetsWin:115; BetsDraw: 139; CorrectResults: 92; CorrectDraws: 54; CorrectWins: 38; |22.06
