GH,XGH,GA,XGA,Side
1,0.98,1,0.40,1
1,1.32,0,1.31,0
1,1.04,1,0.76,1
1,1.68,2,0.60,0
0,0.26,1,1.69,1
0,0.96,1,0.72,0
2,2.34,2,0.51,1
2,2.75,0,0.34,0
0,0.31,1,0.92,1
2,1.47,1,1.32,0
1,0.71,2,2.88,1
0,1.26,0,0.05,0
0,0.80,1,1.26,1
5,1.58,2,1.40,0
1,1.33,4,1.25,1
0,1.45,1,1.36,0
1,0.57,2,1.38,0
0,1.13,2,1.07,1
3,2.24,2,0.82,0
3,2.44,0,0.30,0
1,1.93,0,0.82,1
1,1.03,2,1.37,0
2,1.12,2,0.91,1
3,1.78,0,0.33,0
0,0.39,0,1.93,1
1,1.88,0,0.51,0
0,1.34,0,1.39,1
2,1.43,1,0.34,0
1,1.34,4,2.46,1
4,1.72,0,0.27,0
3,2.27,0,1.67,1
2,2.63,0,0.37,0
2,1.64,0,0.33,1
3,2.73,0,0.25,0
2,2.25,2,1.00,1
1,1.85,2,2.14,1
2,2.38,1,1.20,0
2,1.39,3,2.17,1
