GH,XGH,GA,XGA,Side
1,1.32,0,1.14,0
3,2.26,0,0.33,1
2,2.18,0,0.10,0
0,0.45,1,0.39,1
2,3.18,1,1.06,0
0,1.17,0,0.52,1
5,3.61,0,0.74,0
1,2.66,1,0.22,1
0,0.31,1,0.92,0
1,0.43,0,0.15,1
0,0.77,0,0.77,0
3,0.83,1,0.75,1
1,0.70,2,0.52,0
0,0.61,1,1.19,1
1,1.87,1,0.93,0
1,0.29,4,2.16,1
1,0.60,0,1.00,0
1,1.29,2,1.18,1
2,2.36,0,0.65,0
1,0.96,1,1.26,1
0,1.06,2,1.65,0
2,1.83,5,4.61,1
0,0.48,0,0.73,0
1,1.94,0,0.14,1
0,0.28,1,1.81,0
1,0.35,0,0.88,1
1,1.94,2,2.77,0
2,1.43,1,0.34,1
2,1.36,0,0.48,0
1,1.31,1,1.13,1
1,0.51,0,0.27,0
4,4.04,0,0.04,1
0,2.19,1,1.43,0
1,1.32,1,0.41,1
0,0.96,0,0.89,0
1,0.76,1,0.44,1
2,1.29,3,1.28,0
4,2.45,0,0.98,1
